,location
"Waterloo, IL",2
"Waxhaw, NC",2
"Wetherill Park, New South Wales",2
Sale,2
"Virginia Water, England, England",2
"Clayton South, Victoria",2
"Montréal-Ouest, QC",2
"Mountain Heaven, TX",2
"Punchbowl, New South Wales",2
"Tonypandy, Wales, Wales",2
"Vilvoorde, Flemish Brabant",2
"Smokey Point, WA",2
"Swede Heaven, WA",2
Kampung Assam Bubok,2
Antibes,2
"Mount Gilead, OH",2
"Deer Park, Victoria, Victoria",2
"Walldorf, Thuringia, Thuringia",2
"Benton Harbor, MI",2
"San Isidro, Lima Region, Lima Region",2
"Saint Clair, MI",2
"North Rocks, New South Wales",2
"Cardigan, Wales, Wales",2
"Saint Marys, New South Wales, New South Wales",2
"Central Islip, NY",2
"Holywell, Wales, Wales",2
"Waller, TX",2
"Stanwood, WA",2
Mount Druitt,2
"Lopez, WA",2
"North Versailles, PA",2
Santana de Parnaíba,2
"Wabash, IN",2
"Uniontown, PA",2
Warragul,2
"San Ramon Village, CA",2
"Telecom, Cesar, Cesar",2
"High Wycombe, Western Australia",2
"Lincolnton, NC",2
"Pocahontas, AR",2
"Saugus, MA",2
"Totowa, NJ",2
"Huntingburg, IN",2
"Wasco, CA",2
"Atascocita, TX",2
"Mountain, WV",2
Gwangju,2
"Australia Landing, MS",2
"Mountain Home, ID",2
"Durant, OK",2
Ferntree Gully,2
"Clinton, NY",2
Noosa Heads,2
"Tawau, Sabah, Sabah",2
"Ponteland, England, England",2
Twin Waters,2
"Southwater, England, England",2
"Guntersville, AL",2
"Sweetwater, TN",2
"Santa Fe Springs, CA",2
"Bucaramanga, Santander, Santander",2
"Sawgrass, FL",2
Rawang,2
"Sunshine North, Victoria",2
"Calimesa, CA",2
"Waianae, HI",2
"Canton, NC",2
"Hinton, AB",2
"San Joaquin, CA",2
"Ware, MA",2
"Pleasant Grove, UT",2
"Waimea, HI",2
"Pantego, TX",2
"Montverde, FL",2
"California, Santander, Santander",2
"Countryside, IL",2
"Clinton, MI",2
"Waverly, TN",2
"Heswall, England, England",2
"Cross Hands, Wales, Wales",2
"Redbank, Queensland, Queensland",2
"Sequim, WA",2
"Kentland, IN",2
"Abertillery, Wales, Wales",2
"Fort Washington, MD",2
Thanisandra Main Rd,2
Tres Cantos,2
"Atlantic, PA",2
"Satans Kingdom, VT",2
"Burnt Hills, NY",2
"Walnutport, PA",2
"West Saint Paul, MN",2
"The Kingsway, ON",2
"Winton, South West England, England, England",2
Fountain Gate,2
"Altona North, Victoria",2
"Tredegar, Wales, Wales",2
"Powder Wash, CO",2
"Hunt Valley, MD",2
"Hopkinton, NH",2
"Clanton, AL",2
"Hunstanton, England, England",2
"Clinton, IL",2
Ankleshwar,2
"Bainbridge Island, WA",2
"Monticello, IA",2
All Saints,2
"Atlantic Beach, NC, Optional[NC]",2
"Warren Street, England, England",2
"Pom-o-sa Heights, MO",2
"Lampeter, Wales, Wales",2
"Sunnyside, WA",2
"Gig Harbor, WA",2
"Sapulpa, OK",2
Sai Wan Ho,2
"Oak Park Heights, Washington, MN, Optional[MN]",2
"Stanmore, New South Wales, New South Wales",2
Mwanza,2
"Washington, UT",2
"Atascadero, CA",2
"Salem, IL",2
"Catoosa, OK",2
Wayanad,2
"Cheung Sha Wan, Kowloon City",2
"Chalfont Saint Peter, England, England",2
"Cynthiana, KY",2
"Universal Cty, CA",2
Yamanto,2
"Saugerties, NY",2
"Paintsville, KY",2
Satara,2
"Minster, Kent, Kent, South East England, England, England",2
"St. Ingbert, Saarland",2
Sahāranpur,2
"Mount Washing, OH",2
"MOUNT WELLINGTON, Auckland",2
"Clinton, SC",2
"Mont Belvieu, TX",2
Gurganwamustkil,2
"Warsaw, AL",2
Sanaa,2
"Stony Point, NY",2
"Saint Clair, MO",2
"Wall, England, England",2
"Homebush, New South Wales, New South Wales",2
"Homosassa, FL",2
"Loudwater, England, England",2
"Washington, MI",2
"Great Clacton, England, England",2
"Oskaloosa, IA",2
"Luwan, Shanghai, Shanghai",2
"Grosse Pointe, MI",2
"San Jose, NM",2
"Montgomery, NY",2
"War, WV",2
"Burntwood, England, England",2
"Salford, East of England, England, England",2
Warnbro,2
Sai Kung,2
"Laverton, Victoria, Victoria",2
"Frinton-on-Sea, England, England",2
"Hermosa Beach, CA",2
Saint Croix,2
"Sorrento, FL",2
"Iowa Park, TX",2
"Acton, CA",2
"Colville, WA",2
"Saint Ann, MO",2
"Tonawanda, NY",2
"Epping, Victoria, Victoria",2
"Salida, CO",2
Mörfelden-Walldorf,2
"Saint-Jean, QC",2
"Atlanta Downtown Post Office, GA",2
"Galloway, OH",2
Waiblingen,2
"Waikoloa, HI",2
"Leckwith, Wales, Wales",2
"West Trenton, NJ",2
"Uppsala, Kronoberg, Kronoberg",2
"Rotorua, Bay of Plenty",2
"Saint James, MO",2
"Back Mountain, PA",2
"Valley, Wales, Wales",2
"Safety Harbor, FL",2
"Klagenfurt am Wörthersee, Carinthia",2
"Bay Saint Louis, MS",2
"Kew, Victoria, Victoria",2
"West Lake Sammamish, WA",2
"Egypt, Etowah, AL, Optional[AL]",2
"Saipan, MP",2
Samastīpur,2
"Swansboro, NC",2
"Waterman, IL",2
"Wapakoneta, OH",2
"Montague, NJ",2
"Stansted Mountfitchet, England, England",2
Aswan,2
Point Pedro,2
"Monticello, MN",2
"Cagliari, Sardinia, Sardinia",2
"Morganton, NC",2
"Five Dock, New South Wales",2
"Passaic, NJ",2
"Anantapur, Andhra Pradesh, Andhra Pradesh",2
"Werribee, Victoria, Victoria",2
Warrnambool,2
"Port Orchard, WA",2
"Bodelwyddan, Wales, Wales",2
"Antipolo, Aklan, Aklan",2
"Fountain, CO",2
"Maesteg, Wales, Wales",2
"Quinton, West Midlands, West Midlands, England, England",2
"Bergen, Lower Saxony, Lower Saxony",2
"Fairway, KS",2
"Montrose, MI",2
"Iowa, LA",2
"Sartell, MN",2
"Sault Ste. Marie, MI",2
"Sarıyer, Istanbul, Istanbul",2
"Bangor-is-y-coed, Wales, Wales",2
"West Warwick, RI",2
"Old Saybrook, CT",2
"Watsontown, PA",2
"Pascoe Vale, Victoria",2
"Rosehill, New South Wales, New South Wales",2
"Pasadena, MD",2
"Sint-Stevens-Woluwe, Flemish Brabant",2
"Morfa, Wales, Wales",2
"Ottawa, KS",2
"Snohomish, WA",2
"Redmont Park, AL",2
"Bishops Waltham, England, England",2
"Saginaw, TX",2
"Mercer Island, WA",2
"Saline, MI",2
"Waynesburg, PA",2
"Monticello, AR",2
"Saint-Laurent, QC",2
"Milton, Queensland, Queensland",2
"Gorseinon, Wales, Wales",2
"Ringwood, Victoria, Victoria",2
"Saint Ives, Cornwall, South West England, England, England",2
"Ballard, WA",2
"College Point, NY",2
"Wrentham, MA",2
"Cantwell, AK",2
"Sacramento, NM",2
Wārsa,2
"Ewloe, Wales, Wales",2
"Montreuil, Ile-de-France, Ile-de-France",2
"Lantana, FL",2
"Pereira, Risaralda, Risaralda",2
"Saratoga Springs, UT",2
"Mount Orab, OH",2
"Norway, MI",2
"Fremont, IN",2
"Saint Peter, MN",2
"Edgewater, FL",2
"Swarthmore, PA",2
"Coventry, RI",2
"Wahpeton, ND",2
"Allschwil, Basel-Country",2
"Mountain Spa, UT",2
"Hohne, Lower Saxony, Lower Saxony",1
"Kalama, WA",1
"Richland Center, WI",1
"Clinton, OK",1
Hawai,1
"Sambalpur, Orissa, Orissa",1
"San Joaquín, Heredia, Heredia",1
"Clinton, TN",1
"Waynesboro, PA",1
"Browns Plains, Queensland, Queensland",1
"Frontier, ND",1
"Warners, NY",1
"Salida, CA",1
"Saint-Louis-de-Terrebonne, QC",1
Vicenza,1
"Heathcote, New South Wales, New South Wales",1
"Dysart, Scotland, Scotland",1
"Kilburn, South Australia",1
Sana`,1
"Milwaukee, NC",1
"South Brunswick Terrace, NJ",1
Montero,1
"North Huntingdon, PA",1
"Wynantskill, NY",1
Vantaa,1
Saint Saviour,1
"Whitney Point, NY",1
"Walton, Suffolk, East of England, England, England",1
"Braeside, Victoria, Victoria",1
"Midway, GA",1
"Factoria, WA",1
"Hamilton, Victoria, Victoria",1
"Camberwell, Victoria, Victoria",1
"Saa, Centre, Centre",1
"White Settlement, TX",1
"Huntsville, AR",1
"Waverly, NE",1
"Waterbury, VT",1
Janta Tok,1
"Brunswick East, Victoria",1
"Poulsbo, WA",1
Sahibzada Ajit Singh Nagar,1
Kharwahia No 1,1
"Mount Vernon, MO",1
"Cambron-Saint-Vincent, Hainaut",1
"White Center, WA",1
"Palm Desert Country, CA",1
"Warsaw, IL",1
"Palmas, Tocantins, Tocantins",1
"Brentwood, PA",1
"Palanan, Isabela, Isabela",1
"Bridgewater, NS",1
"Saguenay, QC",1
"Mountsorrel, England, England",1
"Darling Harbour, New South Wales",1
Ko Samui,1
As Salālah,1
"Swanwick, England, England",1
"Little Norway, WI",1
"Santa Rita, Pampanga, Pampanga",1
Wangaratta,1
"Waikoloa Village, HI",1
"Saint Blazey, England, England",1
Alwarpet,1
Sat home,1
Mehsana ,1
"Lasalle, QC",1
Chai Wan,1
"Mountain View, AR",1
"Big Sky Mountain Village, MT",1
"Llangefni, Wales, Wales",1
"Essen, Antwerp",1
"Salt Rock, WV",1
Saipan,1
Wadersloh,1
"Ravenswood, WV",1
Malīr Cantonment,1
"Montreal, WI",1
"Saint Ives, New South Wales, New South Wales",1
"Waggaman, LA",1
"South Hill, WA",1
"Dowlais, Wales, Wales",1
"Wainwright, AB",1
"Karak, North-West Frontier, North-West Frontier",1
"Menteng, Jakarta, Jakarta",1
"South Sanford, ME",1
"Wakefield, NH",1
"Llangynwyd, Wales, Wales",1
"International Gardens, UT",1
"Stuyvesant, NY",1
"Passaic, MO",1
"Ystalyfera, Wales, Wales",1
"Swiftwater, PA",1
‘Asamah,1
"Bost, Flemish Brabant",1
"Trenton, GA",1
"Swavesey, East of England, England, England",1
"Clairemont, CA",1
Sap Danna,1
"Saint Peter, IL",1
"Saintfield, Northern Ireland, Northern Ireland",1
"Montclair, VA",1
"Blountsville, AL",1
"Montreal Lake, SK",1
"Saint Marys, PA",1
"New Stanton, PA",1
"Vitória, Espírito Santo, Espírito Santo",1
"Sapcote, England, England",1
"Mona Vale, New South Wales, New South Wales",1
"Waseca, MN",1
"Sacramento, KY",1
"Warsaw Landing, Livingston, LA, Optional[LA]",1
"Denton, NC",1
"Germantown, NY",1
"Mifflintown, PA",1
Tkotsa,1
"Villepinte, 93, Île-de-France",1
Sabar Kantha,1
"Antipolo, Rizal, Rizal",1
"Enumclaw, WA",1
"Wailuku, HI",1
Brunswick Heads,1
"Brunswick, MD",1
Bintulu,1
"Blountstown, FL",1
"Crickhowell, Wales, Wales",1
"Tondu, Wales, Wales",1
"Melissa, TX",1
"Cremorne, Victoria",1
"Rewa, Madhya Pradesh, Madhya Pradesh",1
"Swalwell, England, England",1
Quinta do Lago,1
"Sauk Village, IL",1
"San Jose, Nueva Ecija, Nueva Ecija",1
Saint Peter’s,1
Aventura,1
"Llanharry, Wales, Wales",1
"Centerville, UT",1
"Mountain View, MO",1
"DuPont, WA",1
"South Norwalk, CT",1
"Waltham on the Wolds, England, England",1
"Fontana, PA",1
"Oskaloosa, KS",1
"Sinton, TX",1
"Kentville, NS",1
"Broadway, NJ",1
"Vicksburg, MS",1
"Kingsteignton, England, England",1
"Saint Briavels, England, England",1
Guiguinto,1
"Indiantown, FL",1
"Itasca, TX",1
Dasarahalli Nr Kempapura Rd,1
Sant Adrià de Besòs,1
"Stanton, CA",1
"North Bend, WA",1
"Allentown, NJ",1
Tembisa,1
Santa Cruz,1
"Montain, Midi-Pyrenees, Midi-Pyrenees",1
Mostkovice,1
Sapporo,1
"Universal City, CA",1
"Saint Helens, OR",1
"Mount Sterling, IL",1
Uasaraña,1
Alessandria,1
"Bargoed, Wales, Wales",1
"Steilacoom, WA",1
Ca-anajawan,1
"Port Angeles, WA",1
Perinthalmanna,1
"Milwaukie, OR",1
Waitakere,1
"Anthem, AZ",1
Kinsale,1
"Tangent, OR",1
"Central, CA",1
"Machelen, Flemish Brabant, Flemish Brabant",1
"Broussard, LA",1
"New Brunswick, Clay, IN, Optional[IN]",1
"East Victoria Park, Western Australia",1
"Waltham, MN",1
"Glenmont, Baltimore, MD, Optional[MD]",1
"Stanton, TX",1
Corowa,1
Warrawong,1
Schwalbach am Taunus,1
Biggera Waters,1
"Manyata, Central, Central",1
"Yongsan, Ch'ungch'ong-bukto, Ch'ungch'ong-bukto",1
"Vermont, Western Cape, Western Cape",1
Atalánti,1
"Walton, South West England, England, England",1
"Lyndhurst, Victoria, Victoria",1
"Ely, Wales, Wales",1
"Aber, Wales, Wales",1
San Jose del Monte,1
"Samsun, Samsun, Samsun",1
Kampong Tasik Pauh,1
"Ballymount, Dublin, Dublin",1
"Hawaiian Gardens, CA",1
"Salem, IN",1
Plaisance-du-Touch,1
"Aston Clinton, England, England",1
"Benllech, Wales, Wales",1
"San Anselmo, CA",1
"Pasco, WA",1
"San Jose, IL",1
"Pleasant Site, AL",1
"Sarnia Beach, SK",1
San Luis Río Colorado,1
"Clyde, New South Wales, New South Wales",1
"Bald Hills, South Australia, South Australia",1
"Clinton, IN",1
"Belfast County Borough, Northern Ireland, Northern Ireland",1
"Sandpoint, ID",1
Posadas,1
"Hunters Creek, FL",1
"San Fernando, Province of Cebu, Province of Cebu",1
"Braunton, England, England",1
Odessa,1
"Wadsworth, OH",1
"Saundersfoot, Wales, Wales",1
"Santa Rosa Beach, FL",1
"Bistriţa, Bistrita-Nasaud, Bistrita-Nasaud",1
Ronaldsway,1
Wentworthville,1
"Waskom, TX",1
Māntri,1
"Semarang, Central Java, Central Java",1
Saint-Franc,1
"Tranent, Scotland, Scotland",1
"Speedway, IN",1
"Kerry, Wales, Wales",1
"Anamosa, IA",1
"Tubarão, Santa Catarina, Santa Catarina",1
"Reynosa, Tamaulipas",1
"Sanya, Hainan, Hainan",1
"Banga, Negros Occidental, Negros Occidental",1
"Desert Mountain, NM",1
"Waters Edge, IN",1
"Waterford, Victoria, Victoria",1
"Savanna Place, GA",1
"San José, Alajuela, Alajuela",1
"Agadir, Souss-Massa-Drâa, Souss-Massa-Drâa",1
Century City,1
"Central Valley, NY",1
"Stewarton, Scotland, Scotland",1
"Duffryn, Newport, Wales, Wales",1
Sayyān,1
"Pont-Évêque, 38",1
"Fort Lewis, WA",1
"Massac City, IL",1
"Acton Round, England, England",1
"Hatte, Centre, Centre",1
"Linda Vista, San Diego, CA, Optional[CA]",1
"Leavenworth, WA",1
"Canterbury, Culpeper, VA, Optional[VA]",1
"Pilot Mountain, NC",1
"Mont Alto, PA",1
"West Milwaukee, WI",1
"Louisa, KY",1
"Tremonton, UT",1
"Mountlake Terrace, WA",1
"Mount Lebanon, PA",1
"Oosterhout, North Brabant, North Brabant",1
"Coldwater, MI",1
"Saint-Raymond, QC",1
"Ottawa Lake, MI",1
"Bourton on the Water, England, England",1
"CaPointree Is, NY",1
"Centralia, WA",1
"Llanberis, Wales, Wales",1
"Clear Water Beach, MD",1
"Montclair, CA",1
"Trenton, OH",1
"BramPointon, MI",1
"Cherry Point, NC",1
"Hinton, WV",1
"Hermantown, MN",1
Fontaine-lès-Dijon,1
"Frankston South, Victoria",1
"Rockaway Valley, NJ",1
"Port Aransas, TX",1
"Winthrop Harbor, IL",1
"Edenton, NC",1
"Castle Rock, WA",1
"Colinton, Scotland, Scotland",1
Saint Helens,1
"Sandhurst, East Sussex, South East England, England, England",1
"Osaka, VA",1
Bulawayo,1
"Sac Bay, MI",1
"Savanna, IL",1
"Bedwas, Wales, Wales",1
"Santee, SC",1
Saint John's Mission,1
"Savage, MN",1
"Central Valley, CA",1
"East Saint Louis, IL",1
"Santa Cruz, Laguna, Laguna",1
"Winter Springs, MD",1
"Monte Vista, CO",1
"North Hobart, Tasmania",1
"Point Clear, AL",1
"Sayreville, NJ",1
"Massa, TX",1
"South Pasadena, CA",1
"Grosse Pointe Woods, MI",1
"Center Moriches, NY",1
"Mint Hill, NC",1
"Centralia, IL",1
"Bangkok, Central Java, Central Java",1
"South Bradenton, FL",1
"Jackson Center, OH",1
"Saint Matthews, KY",1
"Ystrad Mynach, Wales, Wales",1
"Anthony, TX",1
"Warren, NH",1
"Palwal, Haryana, Haryana",1
Hassi Messaoud,1
"Mont-Joli, QC",1
"Bella Vista, New South Wales",1
"Puget, WA",1
"Edwards, CO",1
"Ridgefield, WA",1
"Salt Lake View Addition, UT",1
"Oracle Place Shopping Center, AZ",1
"Prenton, England, England",1
"Rosamond, CA",1
"Germantown, OH",1
"Port Saint John, FL",1
"Ban Pa Sao, Uttaradit, Uttaradit",1
"Wa-Ni Village, TN",1
"San Antonio de la Cal, Oaxaca, Oaxaca",1
"Heddon on the Wall, England, England",1
"Medway, ME",1
Point Cook,1
"Black Diamond, WA",1
"Coogee, New South Wales, New South Wales",1
"Cranbourne North, Victoria",1
"Walker, England, England",1
"Palmerston North, Manawatu-Wanganui",1
"Wapping, CT",1
"Moratuwa, Western, Western",1
"Ffald-y-Brenin, Wales, Wales",1
"Saint Clairsville, OH",1
Lárisa,1
"Upper Sandusky, OH",1
"Cathays Park, Wales, Wales",1
Warwick,1
"Ashaway, RI",1
"Watchet, England, England",1
"Stanton, KY",1
"Wadesboro, NC",1
"Sandstone, WV",1
Mahābaleshwar,1
"Springwood, Queensland, Queensland",1
"Glenoaks Country, CA",1
"Powāi, Assam, Assam",1
Warszew,1
"Sandston, VA",1
"Washington, NJ",1
"Mount Pocono, PA",1
"Sand Springs, OK",1
"Hampton, Victoria, Victoria",1
"Salem, NJ",1
"Grantsboro, NC",1
Saudi,1
"Saranac Lake, NY",1
"Swampscott, MA",1
Agara Sarjapura Road ORR,1
"Saint John, IN",1
"Warri, Delta, Delta",1
Dbsa,1
"Belmont, England, England",1
"Toronto, IL",1
Wallsend,1
"Kentuck, VA",1
"Swanscombe, England, England",1
Nueva San Salvador,1
"Oneonta, AL",1
"Warren, Herkimer, NY, Optional[NY]",1
"Acton, MA",1
"Cwmbach, Rhondda Cynon Taff, Wales, Wales",1
"Sanford, ME",1
"Blountville, TN",1
"Ottignies-Louvain-la-Neuve, Walloon Brabant",1
"Saint-Ouen, 93, Île-de-France",1
Nasau,1
"San Marino, CA",1
"Atla, Saarema, Saarema",1
"San Pedro, Coahuila, Coahuila",1
"Balcatta, Western Australia",1
"Chippewa, PA",1
Sabbioneta,1
"Timbu, East Nusa Tenggara, East Nusa Tenggara",1
"Martha Lake, WA",1
"Kings Mountain, NC",1
"Mumba, Central, Central",1
"South Salisbury, NC",1
"Piedmont, OK",1
Si Sa Ket,1
"Beaumont, QC",1
"Southern Cross, Victoria, Victoria",1
"Wahiawä, HI",1
"Grovesend, Wales, Wales",1
"Warsaw, TX",1
"Wyndham, Western Australia, Western Australia",1
"Sahāra, Uttar Pradesh, Uttar Pradesh",1
"Mount Washington, KY",1
"Montreal, MO",1
"Saint-Nicolas, QC",1
"Kado, Federal Capital Territory, Federal Capital Territory",1
"Pgh Int ArPort, PA",1
"Harwinton, CT",1
"Saidpur, Rajshahi, Rajshahi",1
"Lusaka, Copperbelt, Copperbelt",1
"Samarkand, Surxondaryo, Surxondaryo",1
Hadapsar,1
"Tidewater, VA",1
"San Juan, TX",1
"George, WA",1
Saint-Pierre-d'Alvey,1
"Clyde, Victoria, Victoria",1
"Saratoga Springs, Utah, UT, Optional[UT]",1
"Fremont, OH",1
"Saint-Léonard, QC",1
Mandsaur,1
"Wade Hampton, SC",1
Antartida Argentina,1
"Monticello, NY",1
"Maitland, New South Wales, New South Wales",1
"Montoursville, PA",1
"Over Åstrup, Central Jutland, Central Jutland",1
"Los Angeles, La Salle, TX, Optional[TX]",1
"Mindarie, Western Australia, Western Australia",1
"San Rafael, Mendoza, Mendoza",1
"Kepala Batas, Pulau Pinang, Pulau Pinang",1
"Sandwich, MA",1
"Austintown, OH",1
Antofagasta,1
"Sawston, England, England",1
Sai Ying Pun,1
"Saint James, England, England",1
Makassar,1
"Sabraton, WV",1
"Walker Mill, MD",1
"Salisbury, MA",1
"Ban Nagnang, Vientiane Prefecture, Vientiane Prefecture",1
Mount Annan,1
Victoria Point,1
"Swinton, South Yorkshire, Yorkshire and the Humber, England, England",1
"Pasig, Palawan, Palawan",1
"Swallownest, England, England",1
"Saint Thomas, IL",1
"Laverton North, Victoria",1
"Huntingdon Valley, PA",1
"Pumula, Bulawayo, Bulawayo",1
Hassan,1
"Wauchula, FL",1
"Pilot Point, TX",1
Viru Viru International Airport,1
Pennant Hills,1
"Cwmcarn, Wales, Wales",1
"Warner, OK",1
"Mount Pleasant, TN",1
"Lismore, New South Wales, New South Wales",1
"Llandow, Wales, Wales",1
MOUNT ALBERT,1
"Lascassas, TN",1
"Satellite Beach, FL",1
"Ontario, OR",1
Hawa,1
Edmonton,1
"Brent, AL",1
Punta Caña,1
"Saint Jo, TX",1
"San Jose, Bulacan, Bulacan",1
"Sint-Niklaas, East Flanders",1
"Oak Point, TX",1
"Ridgmont, England, England",1
"Cooma, New South Wales, New South Wales",1
"Mattawan, MI",1
"Lamesa, TX",1
"Harrisdale, Western Australia",1
"Saint Henry, OH",1
"Central City, FL",1
"Mount Hermon, CA",1
"Saint Asaph, Wales, Wales",1
"Minuwangoda, Western, Western",1
"Lakebay, WA",1
"Villahermosa, Tabasco, Tabasco",1
Santa Luċija,1
"Point Charlotte, FL",1
"Waverly, OH",1
"Sand Springs, MO",1
"Stoke, Tasman, Tasman",1
"Nantucket, MA",1
Montévrain,1
"Toronto, MO",1
"St Peters, New South Wales",1
"Pasig, Antique, Antique",1
Montana,1
Sandringham,1
"Wall Street, MO",1
Mantin,1
"Antigonish, NS",1
"Savage, MD",1
"Taschereau, QC",1
"Rockaway Beach, NY",1
"Delmont, PA",1
"Sedro-Woolley, WA",1
"Kentwood, LA",1
"Keyport, WA",1
"Rosebery, New South Wales, New South Wales",1
Adamawa,1
"Wales, WI",1
Puerto Princesa,1
"Saltdean, England, England",1
Wageningen,1
Sylvania Waters,1
"Fairmont, MN",1
"Central, IL",1
"Newark, NY",1
"Penrice, Wales, Wales",1
Waurn Ponds,1
"Monticello, FL",1
"Thornton, Lancashire, North West England, England, England",1
"Bandung, Central Java, Central Java",1
"Saint Pauls Walden, England, England",1
Montbéliard,1
Casalecchio di Reno,1
"DePointford, NJ",1
"Sayville, NY",1
"Cwmduad, Wales, Wales",1
"Warwick, OK",1
"Central, SC",1
"Wijnegem, Antwerp",1
"Santa Fe, TX",1
"Eatontown, NJ",1
Ōtawa,1
Senawang,1
"Kashiwa, Chiba, Chiba",1
Middlemount,1
"Chalfont, PA",1
Bernburg (Saale),1
"Mont-Tremblant, QC",1
"Lynden, WA",1
Sangāreddi,1
"Serra, Espírito Santo, Espírito Santo",1
"Santa Barbara Shores, FL",1
Washi,1
Deventer,1
Taroudant,1
Higashi-shinagawa,1
"Grantville, PA",1
"San Marco, FL",1
Sahlah,1
"Brynmawr, Wales, Wales",1
"Richmond, New South Wales, New South Wales",1
Saín Alto,1
"São Vicente, São Paulo, São Paulo",1
"Lecanto, FL",1
"Dandenong South, Victoria",1
"North Waltham, MA",1
"North Walsham, England, England",1
"Saint-Jean-sur-Richelieu, QC",1
"Sumner, WA",1
"Glinton, England, England",1
"Waynesville, OH",1
Nariman Point,1
Besançon,1
"Montgomeryville, PA",1
"Tlalnepantla, México",1
Wałbrzych,1
Lysaker,1
"Horsham, Victoria, Victoria",1
"Pasadena, FL",1
"Aguascalientes, Aguascalientes, Aguascalientes",1
"Point Douglas, MN",1
"Soledad, Atlántico, Atlántico",1
"Watson, IL",1
"Washingtonville, NY",1
"Moses, WA",1
"Yokohama, Kanagawa, Kanagawa",1
"Mount Pleasant, PA",1
"Gash Settlement, MO",1
"St Lucia, Queensland",1
"Mount Morris, NY",1
"Langenhagen, Lower Saxony, Lower Saxony",1
"Grantham, NH",1
"San Luis Potosí, San Luis Potosí, San Luis Potosí",1
"Saint Johnsbury, VT",1
"Saint Francis, MN",1
"Woodville, South Australia, South Australia",1
"Watkinsville, GA",1
"Norwalk, IA",1
"Pleasant Pr, WI",1
Grant No 11,1
"La Crescent, MN",1
"Isanti, MN",1
"Versailles, KY",1
"Clearwater, KS",1
"Saint-Jérôme, QC",1
Sai Wan,1
"Sandy Hook, KY",1
"Al Ḩusaynīyah, Rif Dimashq, Rif Dimashq",1
"Woodland, WA",1
Belmont,1
Versailles,1
"Warren Point, NJ",1
"Breadsall, England, England",1
"San Jose, AZ",1
"Rib Mountain, WI",1
"Suwannee, FL",1
"Santa Anna, TX",1
"Garden City, Victoria",1
Salamanca,1
"Central City, KY",1
"Kwinana, Western Australia, Western Australia",1
"Antwerpen, Antwerpen",1
"Berne, Lower Saxony, Lower Saxony",1
Alwar,1
"Login, Wales, Wales",1
"Halkyn, Wales, Wales",1
"Saint Rose, LA",1
Udaipurwati,1
"São José, Santa Catarina, Santa Catarina",1
"Saint Johns, MI",1
"Grand Mound, WA",1
"Saint David's, Wales, Wales",1
"Mount Pearl, NL",1
"Clinton, NJ",1
"Long Point, NB",1
"Belmont Shore, CA",1
Gentilly,1
"Atlanta, MI",1
"Calapan, Mindoro Oriental, Mindoro Oriental",1
"Pantelimon, Bucuresti, Bucuresti",1
"Ocean Shores, WA",1
Milwa,1
"Mount Pleasant, IA",1
"Walderslade, England, England",1
"Westward Ho, GA",1
"Saddleworth, England, England",1
"Santo André, Paraíba, Paraíba",1
"Pleasant Valley, Dutchess, NY, Optional[NY]",1
"Childers, Queensland, Queensland",1
"Fountain Valley, Orange, CA, Optional[CA]",1
"Airway Heights, WA, Optional[WA]",1
Kefar Sava,1
"Anchor Point, AK",1
"Shailer Park, Queensland",1
"Kng of Prussa, PA",1
Sangrūr,1
"Teresa, Rizal, Rizal",1
"Nantes, 44",1
Santander,1
"Frant, England, England",1
Langwarrin,1
"Kansas City Suburban Acreage, MO",1
"Time Customer Service Inc, FL",1
"East Acton, England, England",1
"Saint James, NY",1
"Milton-Freewater, OR",1
"Vorst, Antwerp",1
"Waynesburg, OH",1
"Village At Watervale, GA",1
"Wolfsburg, Lower Saxony, Lower Saxony",1
"Wantage, NJ",1
Orsay,1
"Middle Wallop, England, England",1
"Orient, OH",1
"Ellenton, FL",1
"Sint-Gillis-Dendermonde, East Flanders, East Flanders",1
San Miguel Chicahua,1
Inayawan,1
"No BrenTownshipood, MD",1
"Saint Leonards, Victoria, Victoria",1
"Pontiac, IL",1
"Ooltewah, TN",1
Kórinthos,1
"Jaipur, Assam, Assam",1
"Mount Carmel, IL",1
"Le Grand-Saconnex, Geneva",1
"Westmount, QC",1
"Wauseon, OH",1
"Croydon, New South Wales, New South Wales",1
"Belmont, OH",1
Mentougou,1
"Watlington, South East England, England, England",1
"Santa Ana, San Jose, San Jose",1
"Baginton, England, England",1
"Clinton, MO",1
"Rocky Mountain House, AB",1
"Pwllheli, Wales, Wales",1
"Valentine, NE",1
Corrientes,1
"Bentleyville, PA",1
"Sacramento, NE",1
Al Wakrah,1
"Castel San Giovanni, Emilia-Romagna, Emilia-Romagna",1
"Sagamore, MA",1
"Armadale, Western Australia, Western Australia",1
"Saint Marys, OH",1
Bānswāra,1
"Wansford, East of England, England, England",1
"Pleasant Hills, PA",1
Wardha,1
"South Normanton, England, England",1
"Claremont, NC",1
"Belfair, WA",1
"Manassas Park, VA",1
"Washington Tr, UT",1
"Wakefield, NE",1
"Warsaw, MO",1
"Warwick, NY",1
"Pleasant Prairie, WI",1
"San Antonio Prairie, TX",1
"Pleasant Mount, PA",1
"Watchung, NJ",1
"Yŏngsan, Kangwon, Kangwon",1
"Brawdy, Wales, Wales",1
"Saint Clair Shores, MI",1
"Broadmeadows, New South Wales, New South Wales",1
"Palisades Park, NJ",1
