,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
37017,Apple,2017-02-28, Technical Specialist,"Current Employee, more than 1 year","Cheltenham, Victoria, Victoria",4,2.0,5.0,,4.0,3.0,2.0,v,v,v,Apple,It's a very easy job and the people are great to work with. Get to know a lot of cool things,The money is crap it's hard to move up threw he company the customers are very stuck up and in great ful
37309,Apple,2017-04-10, Specialist (Apple Store),Current Employee,"Perth, Western Australia, Western Australia",4,5.0,5.0,,4.0,4.0,5.0,v,v,r,Specialist,Good discount on products and share,Wages is not really competitive
39469,Apple,2018-04-09, Sales Representative,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",1,1.0,2.0,,1.0,3.0,1.0,x,v,r,What they lack in care they makeup in insincerity,"Average pay, discounts are good but not great. Stock Options are 10% maximum, but they have RSUs now for almost everyone but if you stop working the RSUs that you haven’t received will evaporate if you stop working for them. There is training but that doesn’t include in-depth learning of products, you will have to learn almost everything yourself, in your own time. If you are an Alpha type that has to be numero uno prepare to battle with others like you, everyone else is ground down over time and leaves or possibly gets recycled which is what they love to talk about.","Ridiculous goals, ignores sales targets but then has other targets hidden in everything a specialist does. 
They talk about innovation but that is only for customers not employees. Some managers are fantastic but the upper echelons do not care in the slightest. Your performance reviews are exceedingly difficult to do more than achieve expectations which is their baseline and almost impossible to exceed since they start with 100% and go up from there."
41056,Apple,2019-02-07, FRS,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,2.0,5.0,,5.0,4.0,4.0,v,o,r,FRS,"- fantastic working environment 
- great hours
- great location  (in a shopping centre) 
- increases your customer service skills","- customers can be pre-bad, verbally abuse you 
- very little pay for the things you go through 
- there's so many people it's hard to get support"
42449,Apple,2019-09-16, Sales Specialist,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Best Job I’ve ever had,"Management, support, values, team. Best job ever!","Very busy, noisy and a high level of customers- however support is there."
42490,Apple,2019-09-23, AppleCare Representative,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,3.0,4.0,,3.0,4.0,2.0,x,r,r,Work from home,Work from home - everything supplied,Strict rostering and adherence requirements
42809,Apple,2019-11-12, Specialist,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,4.0,,3.0,3.0,3.0,v,v,v,Retail at its best,Make working in retail a lot more desirable through structured learning and opportunities to develop.,Inflexible managers re taking time off.
43062,Apple,2020-01-02, Product Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5.0,5.0,,2.0,4.0,5.0,v,v,v,Good experience,"Great opportunity to improve and learn about customer service
Good training
Great support for the staffs",Low chances of growing career wise
46587,Apple,2021-02-04, Genius Administrator,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4.0,5.0,5.0,4.0,4.0,4.0,v,v,o,Great Job,"Culture, Rewards, discounts and the people",Management may not always be transparent
47380,Apple,2021-03-16, Product Zone Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2.0,2.0,3.0,2.0,2.0,3.0,x,x,v,Almost no career promotion prospects,"Nice Team, but I can't join management for many years","Low wage, long hours, I'm tired."
47472,Apple,2021-03-21, Apple Genius,Former Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Decent job,Good benefits and culture. decent working environment,Busy and physically tiring at times
48572,Apple,2021-05-17, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Amazing culture,Best place ever to work,None that I can think of
50324,AstraZeneca,2012-11-01, Team Leader,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",3,4.0,4.0,,4.0,3.0,3.0,v,r,r,Well hygeine,In Astra you have lot of oppurunitiesto grow your carrier,To much internal poltices with employees
59136,BDO,2010-01-05, Accountant,Former Employee,"Perth, Western Australia, Western Australia",1,3.0,,,2.0,2.0,1.0,x,o,o,Big 4 Pretender,"Great culture in the subiaco office, one of the best audit divisions in WA.","Directors are out of touch with staff and more concerned with their profit share, new office is a step back to 1950 with cube farm seating, staff turnover runs about two a week so there is a pretty shallow knowledge base and you don't learn much. Even the worst of the big four is a better choice than these guys."
59699,BDO,2017-08-01, Senior Associate,"Current Employee, more than 5 years",Victoria,3,,,,,,,o,o,o,audit senior,Diversity of clients and lots of exposure,no opportunity to grow within the firm
60211,BDO,2019-06-05, Senior Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,4.0,3.0,,4.0,2.0,3.0,x,r,r,Good culture and career progression,great team with interesting projects,"poor compensation, too much responsibility early"
60368,BDO,2019-11-04, Account Assistant,Former Employee,"Perth, Western Australia, Western Australia",3,3.0,2.0,,2.0,2.0,2.0,o,o,o,first job not much to say,good people to work with,not the type of job to enjoy
60443,BDO,2020-01-13, Copy Boy,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",2,4.0,3.0,,3.0,4.0,3.0,v,r,r,Outdated,"Decent pay, ongoing technical training","Rigid, no innovation, lack of business growth."
60742,BDO,2020-09-30, Senior Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,2.0,1.0,,1.0,1.0,1.0,x,r,x,Horrible Management & Board,Good team and some interesting clients,"Got made redundant within a few months of joining, along with everyone in my team! Board said it was a decision they were contemplating for 6 months. Why hire people if you are going to fire them?"
60758,BDO,2020-10-07, Auditor,Current Employee,"Perth, Western Australia, Western Australia",4,3.0,4.0,4.0,4.0,2.0,4.0,v,r,v,Good,"- Good culture
- Good exposure",- Office not that nice
60789,BDO,2020-10-17, Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,good learning experience,good ppl to work with,no bad cons but long hrs
60820,BDO,2020-10-30, Accountant,Current Employee,"Perth, Western Australia, Western Australia",4,4.0,5.0,4.0,3.0,3.0,3.0,v,r,r,Good,A good dynamic young workforce,Some teams are very middle heavy
60844,BDO,2020-11-10, Auditor,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good company to work for,A lot of exposure early on,I do not have a con
60963,BDO,2020-12-27, Auditor,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Could not recommend more,Promote an amazing culture and are very supportive of all staffs desires and needs,Currently under-resourced which is in the process of being fixed.
61004,BDO,2021-01-11, Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,4.0,4.0,3.0,4.0,v,v,o,Nice place to work,"Nice people, good vibe, good location","Changes happen slowly, company strategy can be confusing"
61085,BDO,2021-01-27, PA to Partners,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4.0,4.0,4.0,4.0,4.0,3.0,v,r,r,Good place,"Staff, learning, variety, and general",None really much to complain
61228,BDO,2021-03-02, Analyst,Former Employee,"Perth, Western Australia, Western Australia",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Shocking,"Terrible culture, poor pay, generally flat feeling amongst employees",Same as the answer above
61257,BDO,2021-03-10, Financial Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,People centric,"Hires well, looks to develop talent, looks out for employee wellbeing",Could do with higher base pay
61273,BDO,2021-03-16, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",3,4.0,3.0,3.0,4.0,3.0,2.0,v,o,v,Siloed,Small business feel with some strong talent in certain teams,Collaboration between service lines not existent
61338,BDO,2021-04-02, Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Nice place to work,"Good culture, great work-life balance",Pay is not that good
61381,BDO,2021-04-14, Manager,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,5.0,3.0,4.0,4.0,4.0,o,o,o,Great experience,"Flexible work arrangement, competitive remuneration package, experienced management and overall good environment",Need to be a self-starter to succeed
61864,BIS,2020-11-19, Human Resources Manager,Current Employee,"Perth, Western Australia, Western Australia",3,3.0,2.0,2.0,3.0,4.0,1.0,v,x,r,High volume and  paced environment,Learn and a lot. Learn a lot quickly. Good team and people.,Lack of strategic long term thinking. Reactive organisation. Lack of investment in assets.
75296,BT,2018-02-20, Systems Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,5.0,4.0,,4.0,4.0,4.0,v,v,v,Analyst,"great work culture,  flexible work hours, awesome work life balance","there are no plans for individual career progression and yearly reviews are not takes seriously, managers will fill these out themselves and there are discussions."
77306,BT,2020-10-22, Service Desk Analyst,Current Employee,"Perth, Western Australia, Western Australia",2,,,,,,,o,o,o,Foreign Company,Good money for the work you do in Australia,Not very hands on for a company in Australia
78662,Babcock-International-Group,2017-04-27, Anonymous Employee,"Current Employee, more than 3 years","Victoria, BC",2,2.0,2.0,,3.0,3.0,1.0,x,o,r,Great if you are senior management,"Benefits are average to good
Lot of good people work there
Government has an apparently inexhaustible supply of money to throw at it","Babcock Canada - This is the most two-tier structured company I've ever worked - there is one rule for the executives and senior management, and one for everyone else. This wouldn't be so frustrating, but the company has a huge surplus of 'senior managers' and 'directors' and 'vice presidents' that don't actually seem to DO anything.

This varies by department - according to the org chart, one department has 4 directors and 3 employees (Business Dev) while other departments don't seem to have any executives (mainly the various support departments who are left to fend for themselves at the table)

The 'executive' class seems to get all kinds of lovely bonuses (personal trips, huge bonuses etc), while everyone else has to cut costs constantly. 

Every team is in it's own little silo while middle-managers fight to stake a bigger claim for themselves. Virtually no inter-department communication."
78815,Babcock-International-Group,2018-11-21, Anonymous Employee,Former Employee,"Victoria, BC",2,3.0,1.0,,3.0,2.0,2.0,x,r,r,Good for fresh out of school engineers... or British people / retired military in Canada,"Interesting options for young engineers as long as they work on engineering tasks
Good place for British and their spouses,  retired military, young engineers
Nice offices in both Victoria and Ottawa
Some very nice hard-working committed people surrounded by lots of managers without much say (everything must pass through COO and thousands rounds of approvals)
Flex schedule","There are good reasons why this is not a very diverse company: your chances to get promoted if you´re not a white male engineer are pretty bad, unless you´re British. If you´re from a ""visible minority"" you´re lucky to get an interview, may be hired just in desperate effort to increase diversity but upper management and some ""colleagues"" will make sure you notice their ""discomfort"" / ""distrust""
Not only very ""hierarchical"" and ""political"" : lack of genuine leadership (do it because the Boss says and do not question anything), poor team work among departments, bad communications (some people are just too important to answer emails until a big boss requires them to), etc.  To make it short: toxic culture."
78830,Babcock-International-Group,2019-02-20, Anonymous Employee,"Former Employee, less than 1 year","Victoria, BC",1,1.0,1.0,,1.0,3.0,1.0,x,o,o,Worst Company ever,The only pro here is the pay & benefits.  Nothing else!,"Everything from management to HR is terrible about this company.  They foster an environment of bullying and ""old boy's club"" for brits!  When you call out the management on what's happening, you're either fired or forced to quit. There is no room for growth and you only get promotions if you ""fit in"" with the right group."
78840,Babcock-International-Group,2019-03-25, Anonymous Employee,"Current Employee, more than 1 year","Victoria, BC",4,2.0,1.0,,3.0,4.0,2.0,v,r,o,Opportunity and interesting work,Plenty of opportunity to develop skills in a well established industry. There are many incredibly intelligent and experienced staff who make it a valuable and rewarding place to work.,Coming from an industry outside of shipbuilding and the navy means there is so much to learn. It would be helpful if more time and effort was designated to staff on boarding for their specific departments / roles.
78853,Babcock-International-Group,2019-05-16, Anonymous Employee,"Current Employee, more than 3 years","Victoria, BC",4,4.0,5.0,,4.0,4.0,4.0,v,v,v,Company Listening to Employees,Over the past couple of years the company has made an effort to really listen to employees and to make changes based on the feedback.  Thank you!  Your efforts are making a big difference.,Sometimes things can take too long to get approved.  Give employees the level of authority that they need to do their jobs.
78867,Babcock-International-Group,2019-06-13, Anonymous Employee,"Former Employee, more than 1 year","Victoria, BC",1,3.0,1.0,,1.0,1.0,1.0,x,x,x,Terrible Employer Despite the Benefits,"The people are for the most part excellent.

The benefits are solid. The pay is decent but still below industry average.","As of 2019, Babcock Canada offers little in the way of career progression or opportunities for growth. Maybe within some teams close to the project, but certainly not in the wider organization. 

The pay banding that has been introduced is all over the map, and has left many people dissatisfied. I tried for more than a year to get my banding adjusted, with support from my direct supervisor, and nothing happened. I quit for another employer and now I hear that (as I expected) my old position has been posted at a higher pay level.

This sort of disrespect for personnel is rampant, and it seems to be common for people to earn less than the newcomers they’re training. It’s also pretty common knowledge that Babcock’s closest partner, Victoria Shipyards, pays roughly 10% higher wages than Babcock and they also have larger bonuses for their staff."
78924,Babcock-International-Group,2020-02-29, Engineer,"Current Employee, more than 1 year","Victoria, BC",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Babcock Canada,"Interesting work, hr makes an effort to listen to people suggestions, very enjoyable place to work.",Hard to move up the payscale
78928,Babcock-International-Group,2020-03-31, Test Technologist,"Current Employee, more than 1 year","Victoria, BC",3,4.0,2.0,,3.0,3.0,3.0,x,v,x,Extremely capable company slowly stagnating due out-dated business culture/practices and enterprise solutions/tools.,"* Highly complex technical scope
* Multidisciplinary environment
* Complete engineering life-cycle (rare in Victoria)
* Hands-on technical verification & validation on defense vessels
* Large corporation but with tight teams
* Access to CAF veterans","* Single-contract company
* Neutral career advancement support (DIY for success)
* Complicated roles & responsibles
* Out-dated enterprise collaboration services/software
* Limited internal communication 
* Poor social engagement
* Struggles innovation"
78954,Babcock-International-Group,2020-07-29, Graduate Technologist,"Current Employee, more than 1 year","Victoria, BC",5,4.0,5.0,,5.0,5.0,5.0,v,v,v,Excellent Employer,"Nice people 
Good structure 
Beautiful offices 
Great support structure
Caring managers","No free parking
Certain offices can be distracting 
Steep learning curve"
78991,Babcock-International-Group,2020-10-23, Project Engineer,Former Employee,"Victoria, BC",4,3.0,3.0,4.0,4.0,4.0,3.0,o,o,o,Job,It paid well and there were nice people to work with.,It did not give me the flexibility I wanted.
78998,Babcock-International-Group,2020-11-09, Mechanical Engineer,Current Employee,"Victoria, BC",3,,,,,,,o,o,o,Mid year,Great work environments and coworkers,Disorganized project and unpredictable workload
79052,Babcock-International-Group,2021-02-05, Supply Chain,"Current Employee, more than 5 years","Victoria, BC",3,5.0,4.0,2.0,3.0,3.0,2.0,v,v,r,Good job compared to the market,"Excellent benefit, vacation and work life balance. Company has ambitious  goals and wants to grow . The communication has really improved  lately and things are now more transparent....the good thing , the good employees are being recognized and the ones that are not, well, everybody knows them by now...","Limited growth opportunity for now but may change in the future , lack of talent among upper management, Some dead wood on the executive level."
79055,Babcock-International-Group,2021-02-08, Safety Advisor,Current Employee,"Victoria, BC",5,,,,,,,o,o,o,Really Supportive,All about the people and a great environment.,Difficult projects which is typical of the industry.
79057,Babcock-International-Group,2021-02-09, Data Analyst/Data Scientist,"Current Employee, more than 1 year","Victoria, BC",3,5.0,5.0,5.0,3.0,1.0,5.0,v,v,v,Decent place to start career,"- Great team 
- Good managers 
- Work life balance 
- Rewarding work","- Low pay compared to industry standard 
- Limited tech available for data science"
79143,Babcock-International-Group,2021-05-27, Engineering Designer,"Current Employee, more than 3 years","Victoria, BC",4,3.0,1.0,3.0,2.0,3.0,2.0,v,v,r,No career pathways,The work is very interesting and you are given the freedom and responsibility to take ownership of your work.,There seems to be no career path within the company. The wage structure and explanation from HR on how you progress in your field is comical at best.
96824,Bayer,2019-11-14, Regional Sales Manager,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,2.0,3.0,,4.0,4.0,3.0,v,o,r,Working at Bayer CropScience,"Excellent sales team reporting to me, with a good mix of experience & youthfulness.
Great manager & colleagues in the national sales team.
Topline product range with a number of leading brands within their segments.
Committed to R&D and supporting key brands with product life cycle management.","A large multinational company with a increasingly bureaucratic structure.
Focus on strategic realignment that has resulted in FTE reductions & increased responsibilities for remaining staff."
98012,Best-Western,2016-09-14, Anonymous Employee,"Former Employee, more than 1 year","Victoria, BC",5,3.0,5.0,,4.0,4.0,5.0,v,o,v,Night Auditor,Very thorough training program in place and lots of work within teams or independently with good access to advice.,Hours could be hard if not up front with schedule preferences.
98295,Best-Western,2018-05-21, Front Desk Agent,Current Employee,"Victoria, BC",4,3.0,5.0,,5.0,5.0,4.0,v,v,v,pros and cons in the hospitality industry,"a wealth of opportunities, tips and bonuses on top of regular salary, stability and growth, creative posts, opportunities to travel, diverse jobs, it is continually developing and it is fun.

The industry offers some interesting challenges that may require one to use their critical and creative thinking","the industry can be very demanding and very stressful, sometimes the hours are long and the shift vary, relocation can be necessary, high standards and tight deadlines"
98432,Best-Western,2019-07-06, Receptionist,"Current Employee, less than 1 year","Victoria, England, England",4,2.0,2.0,,3.0,2.0,2.0,o,o,o,full-time,"friendly colleague, always ready to help",do not provide effective trainning
98625,Best-Western,2020-09-29, Customer Service Representative,"Former Employee, more than 1 year","Victoria, BC",4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Great people to work with,Awesome atmosphere and people to work with,Lots of different shifts as open 25 hours
98689,Best-Western,2020-12-18, Guest Service Agent,Former Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,OK,"it was ok, free parking included",there are not much promotion opportunities
100502,Bloomberg-L-P,2015-01-24, Software Engineer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3.0,3.0,,3.0,3.0,3.0,v,v,v,Okay depending on where you work,It all depends on what team you work in and in what department. I happen to have a good management chain but it all depends on the department you're in. Pay and vacation is okay. Its not the best but its not bad either. I'm excited to go to work everyday but that wasn't always the case. And there are some who love coming into work and others who don't.,"Again it depends on the department you're in. Overall, for a rich company they are quite cheap about silly little things. But over indulge in other things."
100506,Bloomberg-L-P,2015-01-27, Financial Sales and Analytics,Current Employee,"Perth, Western Australia, Western Australia",4,4.0,5.0,,3.0,4.0,4.0,v,v,r,Great experience,"Great benefits, fun culture, lots of exposure","Limited career opportunities, not much increment"
110889,Boots,2016-07-18, Customer Assistant,Current Employee,"Victoria, England, England",4,3.0,4.0,,2.0,3.0,2.0,v,v,v,Customer assistant,"Great progressions- a lot of training is available to help you progress 
Great discount during Christmas season 
Good pay","Can be quiet hectic- but then again I think that's expected considering is retail 
Progression within the company is limited"
112934,Boots,2020-10-07, Pharmacy Advisor,Former Employee,"High Wycombe, Western Australia",2,1.0,1.0,1.0,1.0,1.0,1.0,x,r,o,Boots,Long breaks get vouchers and,"To much work, staff can be opinionated"
113065,Boots,2020-11-16, Customer Advisor,"Current Employee, more than 3 years","Victoria, England, England",5,5.0,3.0,3.0,3.0,5.0,5.0,v,v,v,customer assistant,busy environment to work as in train stations.,"customers issues to deal with, if they disrespect you."
119725,British-Airways,2020-09-21, Looking for Employment,Former Employee,"Perth, Western Australia, Western Australia",4,2.0,3.0,,2.0,3.0,4.0,v,r,r,Great Company,"Flexibility 
Travel
Good pay
Customer contact
Great work colleagues","Long hours 
Away from home
Limited career progression"
119726,British-Airways,2020-09-21, Looking for Employment,Former Employee,"Perth, Western Australia, Western Australia",4,2.0,3.0,,2.0,3.0,4.0,v,r,r,Great Company,"Flexibility 
Travel
Good pay
Customer contact
Great work colleagues","Long hours 
Away from home
Limited career progression"
122367,Burberry,2018-05-22, Sales Associate,"Current Employee, less than 1 year","Australia Landing, MS",4,3.0,4.0,,3.0,3.0,3.0,v,v,r,Sales Associate,"Burberry has an amazing brand heritage and beautiful products, an experienced and helpful team that offers great training and generous employee discounts, get to learn a lot about luxury","Upper management set an unrealistically high weekly target resulting in no commission due to failure to achievement, lower pay compared to other luxury brands, no work-life balance"
126834,CBRE,2020-09-22, Facilities Manager,Former Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Professional,"Best working environment, systems and Senior Management","I left, relocating to another State"
127089,CBRE,2020-11-30, Facilities Coordinator,Current Employee,"Burwood, Victoria, Victoria",4,,,,,,,o,o,o,good company,salary ok. most employees help out,no opportunity for external training
127685,CBRE,2021-03-06, Conference Centre Manager,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Conference Centre Manager - Average Salary,"Highly active, engaged and fun role.",Hours can be variable dependent on event types.
127744,CBRE,2021-03-16, Manager,Current Employee,"Victoria, BC",4,,,,,,,o,o,o,CBRE,Hiring process was quick and efficient,Have to change password every three months
129144,Capita,2016-08-02, ,"Former Employee, less than 1 year","Victoria, England, England",1,,1.0,,,,1.0,x,o,r,Dishonest and unprofessional management team,"Nice immediate team. Hard working, friendly and value adding peers.","Absoloutely no concept of performance management. Let a person continue for 6 months and informed at the end of a failed probation. Other examples of cloak and dagger behaviour from mainly middle and senior management. 
Think carefully about working here if ethics are important to you."
130633,Capita,2019-05-21, SAP Consultant,"Former Employee, more than 3 years","Victoria, England, England",1,3.0,1.0,,1.0,1.0,1.0,v,o,o,Ok to work,My manager was good in increasing my confidence level by giving more projects and responsibilities even though I had initial struggle after my maternity.,No salary increment for juniors. Bit racist
131149,Capita,2020-02-26, Cashier Assistant,Former Employee,"Victoria, England, England",4,3.0,3.0,,3.0,3.0,3.0,x,o,r,All the staff in Accounts Payables were made redundant,I only worked for Capita for less than 8 months.  I was trained to be a Cashier Assistant.  Most of my job experiences involved in Accounts Payable as shown in my Curriculum Vitae,Since I was the last one recruited I was asked to resign
157676,Communities-and-Local-Government,2020-02-21, Carer,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",2,2.0,2.0,,2.0,2.0,2.0,x,o,o,Best paying rate in opposition to NGO,Pay rate is best for carers,"Just a number, not a person"
157686,Communities-and-Local-Government,2020-07-30, Litigation Paralegal,Former Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,Usual government perks,Usual government perks and benefits,Minimal opportunity to progress to lawyer
157756,Communities-and-Local-Government,2021-04-22, Manager,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Political,Helping people and supporting community well being,Political interference means not always the best option or the right option for the greater community progresses
157840,Compass-Group,2012-08-26, Chef,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,4.0,,5.0,4.0,5.0,v,v,v,"Excellent Company, Excellent People...",A company that takes care of their employees and sees their rights to the rank and file.,None that comes to Mind...
157864,Compass-Group,2013-07-07, Team Leader Catering,"Current Employee, more than 1 year","Saint Kilda, South Australia, South Australia",1,2.0,1.0,,5.0,1.0,1.0,x,r,r,Unprofessional management.compass group not deliveing contract agreements.,"Ideal if your willing to be walked all over and prepared to turn the odd blind eye, and except favoutisum in the work place.","Its more about  profit than producing quality. Cutting hours not using labour that has been paid thu contracts.They never listen to staff needs and they have little regards for customers and complaints. 
Its about gross proffit thats all."
