,City,country,Latitude,Longitude,Location,State,State Code
39,Tulsa,United States,36.1563122,-95.9927436,"Tulsa, OK",Oklahoma,OK
40,Waltham,United States,42.3756401,-71.2358004,"Waltham, MA",Massachusetts,MA
41,Visakhapatnam,India,17.7231276,83.3012842,Visakhapatnam,Andhra Pradesh,AP
42,Brentford,United Kingdom,51.4863958,-0.3216623,"Brentford, England, England",England,ENG
43,Salisbury,United Kingdom,51.0690613,-1.7954134,"Salisbury, England, England",England,ENG
44,Birmingham,United Kingdom,52.450426050000004,-1.842548969510859,"Warwick, West Midlands, England, England",England,ENG
45,Wakefield,United Kingdom,53.6829541,-1.4967286,"Wakefield, England, England",England,ENG
46,San Mateo,United States,37.5629997,-122.3253265,"San Mateo, CA",California,CA
47,South San Francisco,United States,37.6535403,-122.4168664,"South San Francisco, CA",California,CA
48,Canterbury,United Kingdom,51.2800275,1.0802533,"Canterbury, England, England",England,ENG
49,Somerset West and Taunton,United Kingdom,51.0147895,-3.1029086,"Taunton, England, England",England,ENG
50,Montvale,United States,41.0467635,-74.0229173,"Montvale, NJ",New Jersey,NJ
51,Wrexham,United Kingdom,53.0534759,-3.0047901266461725,"Wrexham, Wales, Wales",Wales,WLS
52,Iowa City,United States,41.6612561,-91.5299106,"Iowa City, IA",Iowa,IA
53,Waterloo,Canada,43.4652699,-80.5222961,"Waterloo, ON",Ontario,ON
54,Warren Township,United States,40.60822,-74.51803,"Warren, NJ",New Jersey,NJ
55,Spokane,United States,47.6571934,-117.42351,"Spokane, WA",Washington,WA
56,Cambridgeshire,United Kingdom,52.3314292,-0.1847723,"Huntingdon, England, England",England,ENG
57,Sydney,Australia,-33.884568900000005,151.2057967086953,Central,New South Wales,NSW
58,Ashford,United Kingdom,51.1481255,0.8775955214903184,"Ashford, Kent, South East England, England, England",England,ENG
59,Kirkland,United States,47.6859573,-122.1920249,"Kirkland, WA",Washington,WA
60,St Albans,United Kingdom,51.753051,-0.3379675,"Saint Albans, England, England",England,ENG
61,Saint Petersburg,United States,27.7703796,-82.6695085,"Saint Petersburg, FL",Florida,FL
62,Havant,United Kingdom,50.8519351,-0.9821263,"Havant, England, England",England,ENG
63,Victoria,Canada,48.4283182,-123.3649533,"Victoria, BC",British Columbia,BC
64,Tacoma,United States,47.2455013,-122.438329,"Tacoma, WA",Washington,WA
65,Plantation,United States,27.0681121,-82.3728728,"Plantation, FL",Florida,FL
66,Fort Wayne,United States,41.0799898,-85.1386015,"Fort Wayne, IN",Indiana,IN
67,Walsall,United Kingdom,52.5847949,-1.9822687,"Walsall, England, England",England,ENG
68,Fremont,United States,37.5482697,-121.988571,"Fremont, CA",California,CA
69,New Brunswick,United States,40.4862174,-74.4518173,"New Brunswick, NJ",New Jersey,NJ
70,Norwalk,United States,41.1175966,-73.4078968,"Norwalk, CT",Connecticut,CT
71,Monterrey,Mexico,25.6802019,-100.315258,"Monterrey, Nuevo León, Nuevo León",Nuevo León,NLE
72,Winston-Salem,United States,36.0998131,-80.2440518,"Winston-Salem, NC",North Carolina,NC
73,Saint Paul,United States,44.9497487,-93.0931028,"Saint Paul, MN",Minnesota,MN
74,San Ramon,United States,37.7648021,-121.9544387,"San Ramon, CA",California,CA
75,Mettawa,United States,42.2333571,-87.9259058,"Mettawa, IL",Illinois,IL
76,Scunthorpe,United Kingdom,53.5922488,-0.6450841,"Scunthorpe, England, England",England,ENG
77,Mahwah,United States,41.0887072,-74.1437552,"Mahwah, NJ",New Jersey,NJ
78,Mesa,United States,33.4151117,-111.8314792,"Mesa, AZ",Arizona,AZ
79,Savannah,United States,32.0564572,-81.0951271,"Savannah, GA",Georgia,GA
80,Wentzville,United States,38.8244136,-90.8683119,"Wentzville, MO",Missouri,MO
81,Santa Ana,United States,33.7494951,-117.8732213,"Santa Ana, CA",California,CA
82,Cheshunt,United Kingdom,51.702052,-0.0335908,"Cheshunt, England, England",England,ENG
83,Upper Saddle River,United States,41.0584299,-74.0984756,"Upper Saddle River, NJ",New Jersey,NJ
84,Newark and Sherwood,United Kingdom,53.0761693,-0.8092339,"Newark on Trent, England, England",England,ENG
85,Pasadena,United States,34.1476452,-118.1444779,"Pasadena, CA",California,CA
86,Huntsville,United States,34.729847,-86.5859011,"Huntsville, AL",Alabama,AL
87,Ontario,United States,34.065846,-117.6484304,"Ontario, CA",California,CA
88,Saskatoon,Canada,52.131802,-106.660767,"Saskatoon, SK",Saskatchewan,SK
89,Sandwell,United Kingdom,52.5305508,-2.0412454,"Saint Helens, West Midlands, England, England",England,ENG
90,London,United Kingdom,51.5081402,-0.2732607,"Acton, London, England, England",England,ENG
91,Centennial,United States,39.579155,-104.8769227,"Centennial, CO",Colorado,CO
92,Walnut Creek,United States,37.9020731,-122.0618702,"Walnut Creek, CA",California,CA
93,Brentwood,United Kingdom,51.6201654,0.3018662,"Brentwood, England, England",England,ENG
94,Vancouver,United States,45.6306954,-122.6744557,"Vancouver, WA",Washington,WA
95,Belo Horizonte,Brazil,-19.9227318,-43.9450948,"Belo Horizonte, Minas Gerais, Minas Gerais",Minas Gerais,MG
96,Santa Barbara,United States,34.4221319,-119.702667,"Santa Barbara, CA",California,CA
97,East Hertfordshire,United Kingdom,51.8103288,-0.0328751,"Ware, England, England",England,ENG
98,Clearwater,United States,27.9658533,-82.8001026,"Clearwater, FL",Florida,FL
99,Salinas,United States,36.6744117,-121.655037,"Salinas, CA",California,CA
100,Chesapeake,United States,36.7183708,-76.2466798,"Chesapeake, VA",Virginia,VA
101,Huntington Beach,United States,33.6783336,-118.0000166,"Huntington Beach, CA",California,CA
102,Montevideo,Uruguay,-34.9058916,-56.1913095,Montevideo,Montevideo,MO
103,Allentown,United States,40.6022059,-75.4712794,"Allentown, PA",Pennsylvania,PA
104,Kansas City,United States,39.1134562,-94.626497,"Kansas City, KS",Kansas,KS
105,Aventura,United States,25.9653698,-80.1428234,"Aventura, FL",Florida,FL
106,Bangor,United Kingdom,53.2277163,-4.1268822,"Bangor, Gwynedd, Wales, Wales",Wales,WLS
107,Issaquah,United States,47.5348778,-122.0432974,"Issaquah, WA",Washington,WA
108,Sandy,United States,40.5710454,-111.8953815,"Sandy, UT",Utah,UT
109,Pensacola,United States,30.421309,-87.2169149,"Pensacola, FL",Florida,FL
110,Flint,United States,43.0161693,-83.6900211,"Flint, MI",Michigan,MI
111,San Bernardino,United States,34.108285,-117.2897065,"San Bernardino, CA",California,CA
112,Bridgewater Township,United States,40.5598127,-74.5517146,"Bridgewater, NJ",New Jersey,NJ
113,Middlesbrough,United Kingdom,54.556286,-1.237163,"Teesside County Borough, England, England",England,ENG
114,London,United Kingdom,51.5235769,-0.2597818,"North Acton, England, England",England,ENG
115,Wales,United Kingdom,53.34061,-1.28162,"Bridgend, Wales, Wales",England,ENG
116,Bhubaneshwar,India,20.2602964,85.8394521,Bhubaneshwar,Odisha,OR
117,Santa Clarita,United States,34.3916641,-118.542586,"Santa Clarita, CA",California,CA
118,Piscataway Township,United States,40.5462553,-74.4660408,"Piscataway, NJ",New Jersey,NJ
119,Old Toronto,Canada,43.6465466,-79.4195263,"North Toronto, ON",Ontario,ON
120,Denton,United States,33.2150386,-97.1330516,"Denton, TX",Texas,TX
121,San Bruno,United States,37.6261715,-122.433243,"San Bruno, CA",California,CA
122,Wandsworth,United Kingdom,51.4570271,-0.1932607,"Wandsworth, England, England",England,ENG
123,City of Westminster,United Kingdom,51.4959786,-0.1413172,"Victoria, England, England",England,ENG
124,Kent,United States,47.3826903,-122.2270272,"Kent, WA",Washington,WA
125,Sarasota,United States,27.3365805,-82.5308545,"Sarasota, FL",Florida,FL
126,Lausanne,Switzerland,46.5218269,6.6327025,"Lausanne, Vaud",Vaud,VD
127,South Kesteven,United Kingdom,52.913192,-0.6438974,"Grantham, England, England",England,ENG
128,Christchurch,New Zealand,-43.530955,172.6366455,"Christchurch, Canterbury",Canterbury,CAN
129,Belmont,United States,37.5164926,-122.2941914,"Belmont, CA",California,CA
130,Aberystwyth,United Kingdom,52.4138938,-4.0815468,"Aberystwyth, Wales, Wales",Wales,WLS
131,Wakefield,United Kingdom,53.5974902,-1.2810057,"South Elmsall, England, England",England,ENG
132,Mid Sussex District,United Kingdom,50.9999616,-0.1049747,"Haywards Heath, England, England",England,ENG
133,Morgantown,United States,39.6296809,-79.9559437,"Morgantown, WV",West Virginia,WV
134,Watford,United Kingdom,51.673946,-0.4012117,"North Watford, England, England",England,ENG
135,Waterford,Ireland,52.2609997,-7.1119081,Waterford,Munster,M
136,Cwmbran,United Kingdom,51.6570903,-3.0159856,"Cwmbran, Wales, Wales",Wales,WLS
137,Mount Laurel Township,United States,39.934002,-74.8909988,"Mount Laurel, NJ",New Jersey,NJ
138,Caerphilly,United Kingdom,51.57608995,-3.220372981954223,"Caerphilly, Wales, Wales",Wales,WLS
139,Braintree,United Kingdom,51.8780637,0.5537161,"Braintree, England, England",England,ENG
140,Bentonville,United States,36.3728538,-94.2088172,"Bentonville, AR",Arkansas,AR
141,London,United Kingdom,51.5029222,-0.103458,"Southwark, England, England",England,ENG
142,Salem,United States,42.7884226,-71.2008933,"Salem, NH",New Hampshire,NH
143,Renton,United States,47.4799078,-122.2034496,"Renton, WA",Washington,WA
144,Montgomery,United States,32.3669656,-86.3006485,"Montgomery, AL",Alabama,AL
145,East Staffordshire,United Kingdom,52.802742,-1.629917,"Burton upon Trent, England, England",England,ENG
146,Salem,United States,44.9391565,-123.033121,"Salem, OR",Oregon,OR
147,Antrim,United Kingdom,54.715139,-6.2192038,"Antrim, Northern Ireland, Northern Ireland",Northern Ireland,NIR
148,St. Austell,United Kingdom,50.333995,-4.793341,"Saint Austell, England, England",England,ENG
149,Fontana,United States,34.0922335,-117.435048,"Fontana, CA",California,CA
150,London,United Kingdom,51.5117363,-0.1226769,"Covent Garden, England, England",England,ENG
151,Santa Rosa,United States,38.4404925,-122.7141049,"Santa Rosa, CA",California,CA
152,Wath upon Dearne,United Kingdom,53.5025235,-1.3450651,"Wath upon Dearne, England, England",England,ENG
153,Waukesha,United States,43.0116784,-88.2314813,"Waukesha, WI",Wisconsin,WI
154,Wayne,United States,40.9491723,-74.2376802,"Wayne, NJ",New Jersey,NJ
155,Sandton,South Africa,-26.0682406,28.0479844,Sandton,Gauteng,GT
156,City of Saratoga Springs,United States,43.0821793,-73.7853915,"Saratoga Springs, NY",New York,NY
157,Saint John,Canada,45.278752,-66.058044,"Saint John, NB",New Brunswick,NB
158,Waterlooville,United Kingdom,50.8797911,-1.0314789,"Waterlooville, England, England",England,ENG
159,Sedgemoor,United Kingdom,51.1283378,-3.0037046,"Bridgwater, England, England",England,ENG
160,Rhyl,United Kingdom,53.3181979,-3.4887917,"Rhyl, Wales, Wales",Wales,WLS
161,Clacton-on-Sea,United Kingdom,51.7883997,1.1527865,"Clacton-on-Sea, England, England",England,ENG
162,Wales,United Kingdom,53.34061,-1.28162,"Llandudno, Wales, Wales",England,ENG
163,Kennesaw,United States,34.0234337,-84.6154897,"Kennesaw, GA",Georgia,GA
164,Braintree,United States,42.2205956,-71.0041229,"Braintree, MA",Massachusetts,MA
165,Sammamish,United States,47.6088445,-122.0423067,"Sammamish, WA",Washington,WA
166,Bothell,United States,47.7598697,-122.2068288,"Bothell, WA",Washington,WA
167,Bellingham,United States,48.7544012,-122.478836,"Bellingham, WA",Washington,WA
168,Llanelli,United Kingdom,51.6737797,-4.1610727,"Llanelli, Wales, Wales",Wales,WLS
169,Lynnwood,United States,47.8278656,-122.3053932,"Lynnwood, WA",Washington,WA
170,Guwahati,India,26.1805978,91.753943,Guwahati,Assam,AS
171,Waco,United States,31.549333,-97.1466695,"Waco, TX",Texas,TX
172,Seattle,United States,47.5709315,-122.3865166,"West Seattle, WA",Washington,WA
173,Wakefield,United Kingdom,53.6917422,-1.3105722,"Pontefract, England, England",England,ENG
174,Sunderland,United Kingdom,54.898614,-1.528827,"Washington, North East England, England, England",England,ENG
175,Hayward,United States,37.6688205,-122.080796,"Hayward, CA",California,CA
176,Vicente López,Argentina,-34.5244484,-58.5036282,Vicente López,Buenos Aires,B
177,Medellín,Colombia,6.2450559,-75.5733791,"Medellín, Antioquia, Antioquia",Antioquia,ANT
178,Milpitas,United States,37.4332273,-121.8989248,"Milpitas, CA",California,CA
179,Rosemont,United States,41.9941334,-87.8756737,"Rosemont, IL",Illinois,IL
180,Mishawaka,United States,41.6611642,-86.1807031,"Mishawaka, IN",Indiana,IN
181,Hay,Australia,-34.369355,144.850443,South Twenty Four Parganas,New South Wales,NSW
182,Warren,United States,42.4932575,-83.0062746,"Warren, MI",Michigan,MI
183,Canton,United States,40.7985464,-81.3749508,"Canton, OH",Ohio,OH
184,Chantilly,United States,38.8941543,-77.4311513,"Chantilly, VA",Virginia,VA
185,High Point,United States,35.9556924,-80.0053176,"High Point, NC",North Carolina,NC
186,Ypsilanti,United States,42.2410562,-83.613055,"Ypsilanti, MI",Michigan,MI
187,Carpinteria,United States,34.3988838,-119.5184564,"Carpinteria, CA",California,CA
188,Oshawa,Canada,43.8975558,-78.8635324,"Oshawa, ON",Ontario,ON
189,Merthyr Tydfil,United Kingdom,51.7444793,-3.3773565,"Merthyr Tydfil, Wales, Wales",Wales,WLS
190,Clinton Township,United States,42.5869782,-82.9200047,"Clinton Township, MI",Michigan,MI
191,Monterey,United States,36.600256,-121.8946388,"Monterey, CA",California,CA
192,Beaumont,United States,30.0860459,-94.1018461,"Beaumont, TX",Texas,TX
193,City of Saginaw,United States,43.4200387,-83.9490365,"Saginaw, MI",Michigan,MI
194,Upper Lachlan Shire Council,Australia,-34.5032588,149.9453974,"Barry, Wales, Wales",New South Wales,NSW
195,Ventura,United States,34.3435092,-119.29560423163717,"Ventura, CA",California,CA
196,Hamilton,New Zealand,-37.7878809,175.281788,"Hamilton, Waikato",Waikato,WKO
197,Canton,United States,42.3076547,-83.4868961,"Canton, MI",Michigan,MI
198,Carmarthen,United Kingdom,51.8533058,-4.3057649,"Carmarthen, Wales, Wales",Wales,WLS
199,Sandhurst,United Kingdom,51.343637,-0.787751,"Sandhurst, Hampshire, South East England, England, England",England,ENG
200,San Luis Obispo,United States,35.2827525,-120.659615,"San Luis Obispo, CA",California,CA
201,Warminster,United Kingdom,51.205366,-2.1831682,"Warminster, England, England",England,ENG
202,West Sacramento,United States,38.5804609,-121.530234,"West Sacramento, CA",California,CA
203,Haverfordwest,United Kingdom,51.8026795,-4.960232,"Haverfordwest, Wales, Wales",Wales,WLS
204,Trafford,United Kingdom,53.4244939,-2.318415,"Sale, England, England",England,ENG
205,Biggleswade,United Kingdom,52.0882012,-0.2589013,"Biggleswade, England, England",England,ENG
206,Los Angeles,United States,34.0573589,-118.4146078,"Century City, CA",California,CA
207,Toronto,Canada,46.4524682,-63.3799629,"Toronto, PE",Prince Edward Island,PE
208,Mount Pleasant,United States,32.7940651,-79.8625851,"Mount Pleasant, SC",South Carolina,SC
209,Sarnia,Canada,42.9746137,-82.4065585,"Sarnia, ON",Ontario,ON
210,Longmont,United States,40.1672117,-105.1019287,"Longmont, CO",Colorado,CO
211,Everett,United States,47.9673056,-122.201399,"Everett, WA",Washington,WA
212,Olympia,United States,47.0451022,-122.8950075,"Olympia, WA",Washington,WA
213,Three Rivers,United Kingdom,51.6390009,-0.4718406,"Rickmansworth, England, England",England,ENG
214,Hay,Australia,-34.369355,144.850443,North Twenty Four Parganas,New South Wales,NSW
215,Victorville,United States,34.5361067,-117.2911565,"Victorville, CA",California,CA
216,Watford,United Kingdom,51.667566,-0.407563,"Watford, East Midlands, England, England",England,ENG
217,Suwanee,United States,34.0514898,-84.0712997,"Suwanee, GA",Georgia,GA
218,Santa Fe,United States,35.6876096,-105.938456,"Santa Fe, NM",New Mexico,NM
219,Prestatyn,United Kingdom,53.3362293,-3.4073552,"Prestatyn, Wales, Wales",Wales,WLS
220,Tukwila,United States,47.4627356,-122.2559156,"Tukwila, WA",Washington,WA
221,Chepstow,United Kingdom,51.6399688,-2.6710867,"Chepstow, Wales, Wales",Wales,WLS
222,Waukegan,United States,42.3636331,-87.8447938,"Waukegan, IL",Illinois,IL
223,San Carlos,United States,37.504936,-122.261823,"San Carlos, CA",California,CA
224,Manassas,United States,38.7509488,-77.4752667,"Manassas, VA",Virginia,VA
225,Walton-on-Thames,United Kingdom,51.3856837,-0.419814,"Walton-on-Thames, England, England",England,ENG
226,Thousand Oaks,United States,34.1705609,-118.8375937,"Thousand Oaks, CA",California,CA
227,Federal Way,United States,47.313494,-122.33931,"Federal Way, WA",Washington,WA
228,Visalia,United States,36.3302284,-119.292058,"Visalia, CA",California,CA
229,St. Cloud,United States,45.5616075,-94.1642004,"Saint Cloud, MN",Minnesota,MN
230,Santa Cruz,United States,36.9743626,-122.0294673,"Santa Cruz, CA",California,CA
231,Puyallup,United States,47.1849009,-122.29214,"Puyallup, WA",Washington,WA
232,Salvador,Brazil,-12.9822499,-38.4812772,"Salvador, Bahia, Bahia",Bahia,BA
233,Tuscaloosa,United States,33.2095614,-87.5675258,"Tuscaloosa, AL",Alabama,AL
234,Radnor Township,United States,40.0440149,-75.3878616,"Wayne, PA",Pennsylvania,PA
235,Walthamstow,United Kingdom,51.5844701,-0.0188186,"Walthamstow, England, England",England,ENG
236,Paignton,United Kingdom,50.4377018,-3.5632704,"Paignton, England, England",England,ENG
237,Humber,United Kingdom,52.195855,-2.654346,"Normanton, Yorkshire and the Humber, England, England",England,ENG
238,Sanford,United States,28.8117345,-81.2680223,"Sanford, FL",Florida,FL
239,Scranton,United States,41.4086874,-75.6621294,"Scranton, PA",Pennsylvania,PA
240,Saint Charles,United States,38.783855,-90.481677,"Saint Charles, MO",Missouri,MO
241,Neath,United Kingdom,51.6621839,-3.8070189,"Neath, Wales, Wales",Wales,WLS
242,East Brunswick Township,United States,40.4278841,-74.415984,"East Brunswick, NJ",New Jersey,NJ
243,Huntington,United States,38.4192496,-82.445154,"Huntington, WV",West Virginia,WV
244,Bradenton,United States,27.4989278,-82.5748194,"Bradenton, FL",Florida,FL
245,Conway,United States,35.0886963,-92.4421011,"Conway, AR",Arkansas,AR
246,Saint Peters,United States,38.791612,-90.5958468,"Saint Peters, MO",Missouri,MO
247,Pontypridd,United Kingdom,51.5992956,-3.3418374,"Pontypridd, Wales, Wales",Wales,WLS
248,San Marcos,United States,29.8826436,-97.9405828,"San Marcos, TX",Texas,TX
249,Warner Robins,United States,32.6200973,-83.606568,"Warner Robins, GA",Georgia,GA
250,Upper Dublin Township,United States,40.1399717,-75.210095,"Fort Washington, PA",Pennsylvania,PA
251,Huntington,United States,40.868154,-73.425676,"Huntington, NY",New York,NY
252,Pullman,United States,46.7304268,-117.173895,"Pullman, WA",Washington,WA
253,Brantford,Canada,43.1408157,-80.2631733,"Brantford, ON",Ontario,ON
254,Aberdare,United Kingdom,51.7145226,-3.4418333,"Aberdare, Wales, Wales",Wales,WLS
255,Hinjawadi,India,18.595342,73.738354,Hinjewadi,Maharashtra,MH
256,Trenton,United States,40.2205944,-74.7597219,"Trenton, NJ",New Jersey,NJ
257,Pasadena,United States,29.6910753,-95.2092076,"Pasadena, TX",Texas,TX
258,Yakima,United States,46.601557,-120.510842,"Yakima, WA",Washington,WA
259,Pontyclun,United Kingdom,51.5238395,-3.3920553,"Llantrisant, Rhondda Cynon Taff, Wales, Wales",Wales,WLS
260,Newark,United States,37.5296593,-122.0402399,"Newark, CA",California,CA
261,Brunswick,United States,31.1499528,-81.4914894,"Brunswick, GA",Georgia,GA
262,Germantown,United States,39.1731621,-77.2716502,"Germantown, MD",Maryland,MD
263,Rockaway,United States,40.9012101,-74.5143232,"Rockaway, NJ",New Jersey,NJ
264,Atlanta,United States,33.772108,-84.386936,"North Atlanta, GA",Georgia,GA
265,Village of Victor,United States,42.9825634,-77.4088794,"Victor, NY",New York,NY
266,Rawalpindi,Pakistan,33.5914237,73.0535122,Rāwalpindi,Punjab,PB
267,Delaware,United States,40.2986724,-83.067965,"Delaware, OH",Ohio,OH
268,Zola Predosa,Italy,44.489665,11.218309,Zola Predosa,Emilia-Romagna,EMI
269,Mentor,United States,41.6664781,-81.3399769,"Mentor, OH",Ohio,OH
270,Canton,United States,32.612602,-90.0367512,"Canton, MS",Mississippi,MS
271,Saint Louis Park,United States,44.9475726,-93.3569023,"Saint Louis Park, MN",Minnesota,MN
272,Atlantic City,United States,39.3642852,-74.4229351,"Atlantic City, NJ",New Jersey,NJ
273,Sandy,United Kingdom,52.1295713,-0.2931657,"Sandy, England, England",England,ENG
274,Wales,United Kingdom,53.34061,-1.28162,"Newtown, Wales, Wales",England,ENG
275,City of Watertown,United States,43.9747838,-75.9107565,"Watertown, NY",New York,NY
276,North Tyneside,United Kingdom,54.9911912,-1.5342042,"Wallsend, England, England",England,ENG
277,Sydney,Australia,-33.8692145,151.1923633,Pyrmont,New South Wales,NSW
278,Norwalk,United States,33.9092802,-118.0849169,"Norwalk, CA",California,CA
279,Saggart,Ireland,53.280278,-6.444444,Saggart,Leinster,L
280,Clermont,United States,28.5494447,-81.7728543,"Clermont, FL",Florida,FL
281,Saint Augustine,United States,29.8946952,-81.3145395,"Saint Augustine, FL",Florida,FL
282,Wauwatosa,United States,43.0494122,-88.0079271,"Wauwatosa, WI",Wisconsin,WI
283,Stone Mountain,United States,33.8080924,-84.1706273,"Stone Mountain, GA",Georgia,GA
284,Mount Pleasant,United States,43.597646,-84.7668495,"Mount Pleasant, MI",Michigan,MI
285,Swanley,United Kingdom,51.3963045,0.1714271,"Swanley, England, England",England,ENG
286,Toronto,Canada,43.69680135,-79.44329671291241,"Midtown Toronto, ON",Ontario,ON
287,Odessa,United States,31.8457149,-102.367687,"Odessa, TX",Texas,TX
288,Port Saint Lucie,United States,27.2939333,-80.3503283,"Port Saint Lucie, FL",Florida,FL
289,South Derbyshire,United Kingdom,52.7736624,-1.5575555,"Swadlincote, England, England",England,ENG
290,St Andrews,United Kingdom,56.3403902,-2.7955844,"Saint Andrews, Scotland, Scotland",Scotland,SCT
291,Sandyford,Ireland,53.2698337,-6.2245713,Sandyford,Leinster,L
292,Chippewa Falls,United States,44.9369054,-91.3929348,"Chippewa Falls, WI",Wisconsin,WI
293,Newcastle upon Tyne,United Kingdom,55.0412836,-1.626572,"Aintree, England, England",England,ENG
294,Pontypool,United Kingdom,51.69439595,-3.044973854474893,"Pontypool, Wales, Wales",Wales,WLS
295,Walnut,United States,34.0202894,-117.8653386,"Walnut, CA",California,CA
296,San Clemente,United States,33.4270275,-117.6124179,"San Clemente, CA",California,CA
297,Hackensack,United States,40.8871438,-74.0410865,"Hackensack, NJ",New Jersey,NJ
298,Encinitas,United States,33.0369867,-117.2919818,"Encinitas, CA",California,CA
299,Nantwich,United Kingdom,53.0671376,-2.5221184,"Nantwich, England, England",England,ENG
300,London,United Kingdom,51.357945,-0.1495621,"Wallington, London, England, England",England,ENG
301,South Oxfordshire,United Kingdom,51.5982905,-1.1252511,"Wallingford, England, England",England,ENG
302,St. Joseph,United States,39.7686055,-94.8466322,"Saint Joseph, MO",Missouri,MO
303,Salem,India,11.6612012,78.1602498,"Salem, Tamil Nadu, Tamil Nadu",Tamil Nadu,TN
304,Mount Vernon,United States,37.9396795,-87.8952993,"Mount Vernon, IN",Indiana,IN
305,Montgomery,United States,30.3882613,-95.6963355,"Montgomery, TX",Texas,TX
306,Germantown,United States,35.0867577,-89.8100858,"Germantown, TN",Tennessee,TN
307,Saint Petersburg,United States,27.7343743,-82.6850134,"Saint Petersburg Beach, FL",Florida,FL
308,Warrensburg,United States,38.7624373,-93.7409596,"Warrensburg, MO",Missouri,MO
309,Llandudno Junction,United Kingdom,53.2839164,-3.8086072,"Llandudno Junction, Wales, Wales",Wales,WLS
310,Warsaw,United States,41.2381017,-85.8530544,"Warsaw, IN",Indiana,IN
311,Auburn,United States,47.3075369,-122.2301808,"Auburn, WA",Washington,WA
312,Toronto,United States,40.4653962,-80.6009547,"Toronto, OH",Ohio,OH
313,Waldorf,United States,38.6263882,-76.9106581,"Waldorf, MD",Maryland,MD
314,Edgware,United Kingdom,51.6176443,-0.276739,"Edgware, England, England",England,ENG
315,Winter Haven,United States,28.0222435,-81.7328568,"Winter Haven, FL",Florida,FL
316,Amritsar,India,31.6343083,74.8736788,Amritsar,Punjab,PB
317,Waterbury,United States,41.5538091,-73.0438362,"Waterbury, CT",Connecticut,CT
