firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Apple,42139, Creative,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,4,5,v,v,v,Great place to work,Great place to work in a great environment,hard to point out cons.
Apple,42286, Specialist,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,4,,4,3,3,v,r,x,Changed a lot when Steve Died,"It was really nice before Steve died, everything was just about showing the customer how great the products and technology was.",Then it changed.... the management started focussing on making us sell things and started to expect us to sell pretty hard
Apple,42396, Mac Genius,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,1,4,,3,3,2,v,v,r,Apple has CULTure,Pay is fairly nice. Working with people is something I love. You get to be a Doctor for customers devices. Freedom to do what you want for the customer,"People can be very entitled and arrogant. Work life balance doesn't exist here. At my store management is not there for you, worried about their salary and policy"
Apple,42835, Specialist (Apple Store),Current Employee,"Perth, Western Australia, Western Australia",4,5,5,,4,4,5,v,v,r,Specialist,Good discount on products and share,Wages is not really competitive
Apple,43199, Sales Representative,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",1,1,2,,1,3,1,x,v,r,What they lack in care they makeup in insincerity,"Average pay, discounts are good but not great. Stock Options are 10% maximum, but they have RSUs now for almost everyone but if you stop working the RSUs that you haven’t received will evaporate if you stop working for them. There is training but that doesn’t include in-depth learning of products, you will have to learn almost everything yourself, in your own time. If you are an Alpha type that has to be numero uno prepare to battle with others like you, everyone else is ground down over time and leaves or possibly gets recycled which is what they love to talk about.","Ridiculous goals, ignores sales targets but then has other targets hidden in everything a specialist does. 
They talk about innovation but that is only for customers not employees. Some managers are fantastic but the upper echelons do not care in the slightest. Your performance reviews are exceedingly difficult to do more than achieve expectations which is their baseline and almost impossible to exceed since they start with 100% and go up from there."
Apple,43503, FRS,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,2,5,,5,4,4,v,o,r,FRS,"- fantastic working environment 
- great hours
- great location  (in a shopping centre) 
- increases your customer service skills","- customers can be pre-bad, verbally abuse you 
- very little pay for the things you go through 
- there's so many people it's hard to get support"
Apple,43724, Sales Specialist,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Best Job I’ve ever had,"Management, support, values, team. Best job ever!","Very busy, noisy and a high level of customers- however support is there."
Apple,43731, AppleCare Representative,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,3,4,,3,4,2,x,r,r,Work from home,Work from home - everything supplied,Strict rostering and adherence requirements
Apple,43781, Specialist,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,4,,3,3,3,v,v,v,Retail at its best,Make working in retail a lot more desirable through structured learning and opportunities to develop.,Inflexible managers re taking time off.
Apple,43832, Product Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5,5,,2,4,5,v,v,v,Good experience,"Great opportunity to improve and learn about customer service
Good training
Great support for the staffs",Low chances of growing career wise
Apple,44231, Genius Administrator,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4,5,5,4,4,4,v,v,o,Great Job,"Culture, Rewards, discounts and the people",Management may not always be transparent
Apple,44271, Product Zone Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,2,3,2,2,3,x,x,v,Almost no career promotion prospects,"Nice Team, but I can't join management for many years","Low wage, long hours, I'm tired."
Apple,44276, Apple Genius,Former Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Decent job,Good benefits and culture. decent working environment,Busy and physically tiring at times
Apple,44333, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Amazing culture,Best place ever to work,None that I can think of
AstraZeneca,41214, Team Leader,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",3,4,4,,4,3,3,v,r,r,Well hygeine,In Astra you have lot of oppurunitiesto grow your carrier,To much internal poltices with employees
BDO,40183, Accountant,Former Employee,"Perth, Western Australia, Western Australia",1,3,,,2,2,1,x,o,o,Big 4 Pretender,"Great culture in the subiaco office, one of the best audit divisions in WA.","Directors are out of touch with staff and more concerned with their profit share, new office is a step back to 1950 with cube farm seating, staff turnover runs about two a week so there is a pretty shallow knowledge base and you don't learn much. Even the worst of the big four is a better choice than these guys."
BDO,43621, Senior Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,4,3,,4,2,3,x,r,r,Good culture and career progression,great team with interesting projects,"poor compensation, too much responsibility early"
BDO,43773, Account Assistant,Former Employee,"Perth, Western Australia, Western Australia",3,3,2,,2,2,2,o,o,o,first job not much to say,good people to work with,not the type of job to enjoy
BDO,43843, Copy Boy,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",2,4,3,,3,4,3,v,r,r,Outdated,"Decent pay, ongoing technical training","Rigid, no innovation, lack of business growth."
BDO,44104, Senior Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,2,1,,1,1,1,x,r,x,Horrible Management & Board,Good team and some interesting clients,"Got made redundant within a few months of joining, along with everyone in my team! Board said it was a decision they were contemplating for 6 months. Why hire people if you are going to fire them?"
BDO,44111, Auditor,Current Employee,"Perth, Western Australia, Western Australia",4,3,4,4,4,2,4,v,r,v,Good,"- Good culture
- Good exposure",0
BDO,44121, Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,good learning experience,good ppl to work with,no bad cons but long hrs
BDO,44134, Accountant,Current Employee,"Perth, Western Australia, Western Australia",4,4,5,4,3,3,3,v,r,r,Good,A good dynamic young workforce,Some teams are very middle heavy
BDO,44145, Auditor,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good company to work for,A lot of exposure early on,I do not have a con
BDO,44192, Auditor,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Could not recommend more,Promote an amazing culture and are very supportive of all staffs desires and needs,Currently under-resourced which is in the process of being fixed.
BDO,44207, Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,4,4,3,4,v,v,o,Nice place to work,"Nice people, good vibe, good location","Changes happen slowly, company strategy can be confusing"
BDO,44223, PA to Partners,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4,4,4,4,4,3,v,r,r,Good place,"Staff, learning, variety, and general",None really much to complain
BDO,44257, Analyst,Former Employee,"Perth, Western Australia, Western Australia",1,1,1,1,1,1,1,x,x,x,Shocking,"Terrible culture, poor pay, generally flat feeling amongst employees",Same as the answer above
BDO,44265, Financial Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,People centric,"Hires well, looks to develop talent, looks out for employee wellbeing",Could do with higher base pay
BDO,44271, Senior Manager,Current Employee,"Perth, Western Australia, Western Australia",3,4,3,3,4,3,2,v,o,v,Siloed,Small business feel with some strong talent in certain teams,Collaboration between service lines not existent
BDO,44288, Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Nice place to work,"Good culture, great work-life balance",Pay is not that good
BDO,44300, Manager,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,5,3,4,4,4,o,o,o,Great experience,"Flexible work arrangement, competitive remuneration package, experienced management and overall good environment",Need to be a self-starter to succeed
BIS,44154, Human Resources Manager,Current Employee,"Perth, Western Australia, Western Australia",3,3,2,2,3,4,1,v,x,r,High volume and  paced environment,Learn and a lot. Learn a lot quickly. Good team and people.,Lack of strategic long term thinking. Reactive organisation. Lack of investment in assets.
BT,43151, Systems Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,5,4,,4,4,4,v,v,v,Analyst,"great work culture,  flexible work hours, awesome work life balance","there are no plans for individual career progression and yearly reviews are not takes seriously, managers will fill these out themselves and there are discussions."
BT,44126, Service Desk Analyst,Current Employee,"Perth, Western Australia, Western Australia",2,,,,,,,o,o,o,Foreign Company,Good money for the work you do in Australia,Not very hands on for a company in Australia
Bayer,43783, Regional Sales Manager,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,2,3,,4,4,3,v,o,r,Working at Bayer CropScience,"Excellent sales team reporting to me, with a good mix of experience & youthfulness.
Great manager & colleagues in the national sales team.
Topline product range with a number of leading brands within their segments.
Committed to R&D and supporting key brands with product life cycle management.","A large multinational company with a increasingly bureaucratic structure.
Focus on strategic realignment that has resulted in FTE reductions & increased responsibilities for remaining staff."
Best-Western,44183, Guest Service Agent,Former Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,OK,"it was ok, free parking included",there are not much promotion opportunities
Bloomberg-L-P,42028, Software Engineer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,3,,3,3,3,v,v,v,Okay depending on where you work,It all depends on what team you work in and in what department. I happen to have a good management chain but it all depends on the department you're in. Pay and vacation is okay. Its not the best but its not bad either. I'm excited to go to work everyday but that wasn't always the case. And there are some who love coming into work and others who don't.,"Again it depends on the department you're in. Overall, for a rich company they are quite cheap about silly little things. But over indulge in other things."
Bloomberg-L-P,42031, Financial Sales and Analytics,Current Employee,"Perth, Western Australia, Western Australia",4,4,5,,3,4,4,v,v,r,Great experience,"Great benefits, fun culture, lots of exposure","Limited career opportunities, not much increment"
Boots,44111, Pharmacy Advisor,Former Employee,"High Wycombe, Western Australia",2,1,1,1,1,1,1,x,r,o,Boots,Long breaks get vouchers and,"To much work, staff can be opinionated"
British-Airways,44095, Looking for Employment,Former Employee,"Perth, Western Australia, Western Australia",4,2,3,,2,3,4,v,r,r,Great Company,"Flexibility 
Travel
Good pay
Customer contact
Great work colleagues","Long hours 
Away from home
Limited career progression"
British-Airways,44095, Looking for Employment,Former Employee,"Perth, Western Australia, Western Australia",4,2,3,,2,3,4,v,r,r,Great Company,"Flexibility 
Travel
Good pay
Customer contact
Great work colleagues","Long hours 
Away from home
Limited career progression"
Burberry,43242, Sales Associate,"Current Employee, less than 1 year","Australia Landing, MS",4,3,4,,3,3,3,v,v,r,Sales Associate,"Burberry has an amazing brand heritage and beautiful products, an experienced and helpful team that offers great training and generous employee discounts, get to learn a lot about luxury","Upper management set an unrealistically high weekly target resulting in no commission due to failure to achievement, lower pay compared to other luxury brands, no work-life balance"
CBRE,44096, Facilities Manager,Former Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Professional,"Best working environment, systems and Senior Management","I left, relocating to another State"
CBRE,44261, Conference Centre Manager,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Conference Centre Manager - Average Salary,"Highly active, engaged and fun role.",Hours can be variable dependent on event types.
Communities-and-Local-Government,43882, Carer,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",2,2,2,,2,2,2,x,o,o,Best paying rate in opposition to NGO,Pay rate is best for carers,"Just a number, not a person"
Communities-and-Local-Government,44042, Litigation Paralegal,Former Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,Usual government perks,Usual government perks and benefits,Minimal opportunity to progress to lawyer
Communities-and-Local-Government,44308, Manager,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Political,Helping people and supporting community well being,Political interference means not always the best option or the right option for the greater community progresses
Compass-Group,41147, Chef,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,4,,5,4,5,v,v,v,"Excellent Company, Excellent People...",A company that takes care of their employees and sees their rights to the rank and file.,None that comes to Mind...
Compass-Group,41462, Team Leader Catering,"Current Employee, more than 1 year","Saint Kilda, South Australia, South Australia",1,2,1,,5,1,1,x,r,r,Unprofessional management.compass group not deliveing contract agreements.,"Ideal if your willing to be walked all over and prepared to turn the odd blind eye, and except favoutisum in the work place.","Its more about  profit than producing quality. Cutting hours not using labour that has been paid thu contracts.They never listen to staff needs and they have little regards for customers and complaints. 
Its about gross proffit thats all."
Compass-Group,42214, ATTENDANT UTILITY,Former Employee,"Perth, Western Australia, Western Australia",1,2,1,,1,2,1,x,x,x,Utility,Apart from the pay ( which is very tiny on a 2 and 1 site) there are no good things iI can think of about this company. I you value you mental wellbeing I would not work for this company.,"The downside of working for this company, the know exactly how to rip off there workers andget away with it by being able to manipulate the wording in the contracts that they get us to sign."
Compass-Group,42267, Anonymous Employee,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",3,2,2,,3,3,,o,o,o,Logistics Manager,Periodical Training to the staff in timely manner. Providing opportunity  to the staff to obtain the promotion. Payments in time.  leave and time off can be availed  as per the schedule.,Senior Mangers are not reaching  to field staff. Chain of  command has not been followed as per the company Policy . Low level staff not getting appropriate support form the management in time.
Compass-Group,42856, Fly,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,ESS - FIFO Utility - Australia,"Reliable  transportation and working conditions at the remote mine sites.  I worked in the kitchens,  cleaning living areas, and cleaning mine sites for 6 months with a working holiday visa. It was a great way to make some good money as a traveller.

They are quick to fly you back home if there's an emergency. While i was working in a remote mine site i found out a family member had died. The had me on a plane back home in less than 8 hours.","No chance of getting visa sponsorship. Two straight weeks on site with one week home is rough on friendships and relationships. I'll avoid fly-in-fly-out work in the future. 

There are often a few employees at each location that do as little work as possible.  not much you can do about that."
Compass-Group,43528, Night Cook,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5,,,5,,,v,o,o,Work hard,"Always  consistent work, good people",I haven't had any bad experiences
Compass-Group,43839, Tradesman,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,3,1,,3,2,1,o,o,o,Below industry standard EBA,Lots of opportunities on different sites,Cost cutting starts with their employees entitlements
Compass-Group,43942, Commercial Business Partner,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Commercial Business Partner,Variety of Responsibilities and Experience,Large Workload and hectic work schedule
Compass-Group,44094, ICT Officer,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Good,Provide up to date training for First safety,There are no any cons but not a full-time opportunity
Compass-Group,44202, Utility Worker,Current Employee,"Perth, Western Australia, Western Australia",2,,,,,,,o,o,o,Utility Worker,"having one week off to enjoy, gets you into mining and having that FIFO experience.",not the best pay for the workload
Compass-Group,44203, Utility Worker,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,3,2,5,3,3,4,x,r,v,Follow procedures and don't get hurt,Good salary. Some great coworkers.,"Too much paperwork, expected continually do more with less."
Compass-Group,44211, Catering Assistant,Current Employee,"Perth, Western Australia, Western Australia",4,3,5,5,3,4,3,v,v,r,Great in ways,"Looks after employees, good facilities, updated","No good communication within site admin, not keeping up with standard protocols/procedures after training"
Compass-Group,44285, Utlity,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,3,4,5,5,3,4,v,r,r,entry level fifo,"New experiences, foot in door to mining",Not many other than low income and roster options Being limited
Compass-Group,44308, Commercial Director,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Compass Group Asia Pacific,Organized and professional company to work for,"Big company, sometimes talent is not recognized within"
Cougar-Mountain,44011, Fromt Office/Volumteer Coordinator,"Former Employee, more than 1 year","Kilburn, South Australia",5,5,5,,3,3,4,v,r,r,Non profit with a heart of gold,"Family Atmosphere
Management understanding of employees needing time of
Awesome non profit","Conveying to volunteers that they are not staff and. As such , are not allowed in areas that state employees only"
DHL-Supply-Chain,43653, Supervisor,Current Employee,"Erskine, Western Australia, Western Australia",3,2,4,,3,3,3,v,r,v,DHL Supply Chains number 1 priority is safety,"Meeting new people and building new relationships whether it be within the business or with our customers.
A lot of training is available to all employees including management because their is always something to learn and room for improvement",Nothing comes to mind at this point
Deloitte,39971, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",4,3,,,3,1,3,v,v,o,Review of Perth Consulting,"Great culture, work hard, play hard
Smart young folk
Collegial
Partners party with you
Lots of good team work","Culture is diluting due to large headcount
ABSOLUTELY DISMAL PAY
Long long hours are not compensated
Lousy client mix in Perth. Mostly government. Not much exposure to blue chip clientele.
Tendency to get pigeomholed into a backfill role where it no longer becomes consulting."
Deloitte,41226, Corporate Tax Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,5,,5,2,2,v,r,r,"Amazing culture, but some drawbacks","Good support for Masters of Tax or CA, amazing people to work with.
They support women and frequently promote them to senior levels.","Some senior management are sociopathic.
Pay is not good enough.
Tax work is boring."
Deloitte,41257, Manager,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,3,5,v,r,v,The best career move I have ever made,Consulting in Australia: Dynamic work with sophisticated colleagues. Great respect for work-life balance and diversity. Mature workplace culture with excellent articulation and reinforcement of cultural expectations through the performance management process (see Seven Signals). Partnership group spends significant time understanding what drives staff and responding to attract and retain the best talent. Increasing trend of staff moving from boutique houses (ie McKinsey) to Deloitte. High performance culture and expectations.,"Like all big 4 firms in Australia, REM includes superannuation (9%). This % must be removed from any salary figure to calculate true salary. Bonuses are discretionary depending on market conditions under the Director band. When paid to junior staff, size of bonus depends on performance rating. Directors and above have formalised bonus structure, dependent again on performance."
Deloitte,41306, Corporate Finance Manager,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,1,4,,4,3,2,v,r,r,"Great learning experience, long hours",Fantastic opportunities to tackle numerous and engaging projects. Learned a lot in a very short space of time,"Very long hours (70-80hr weeks) and very little gratitude, financial reward even when after receiving high performance reviews and promotions"
Deloitte,41681, Analyst,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4,4,,3,2,5,v,r,v,Good,"Great culture, very performance driven",Rigid promotion structure highly dependent on headoffice
Deloitte,42224, Director,Current Employee,"Perth, Western Australia, Western Australia",4,5,5,,4,4,4,v,v,v,Consulting,Interesting engagements. Opportunity to travel. Great teams.,Often difficult to access the right people and information
Deloitte,42621, Manager (Financial Advisory),"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3,5,,5,3,4,v,o,r,Deloitte Australia,Quality of talent. Constant learning and development. Growth opportunities.,Salaries are not that high compared to the effort you are expected to conduct.
Deloitte,42683, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,3,1,,2,4,1,v,v,v,Encourages Fawning and buttering of Senior Management,"Competitive salary, good infrastructure, good market reputation","Long hours, no growth for hard workers who cannot butter their seniors. Nepotism"
Deloitte,42775, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,1,1,,4,1,2,x,x,x,"Good company to learn, but not a good company to work for in the long haul","They provide best training grounds
Opportunity to Travel
Opportunity to work with the biggest clients
Learning is exponential, you work with the most brilliant people","Work life balance will suffer
Salary is low
Path to promotion is not clear and sometimes, not fair - it's all about who you know instead of what you are capable of."
Deloitte,42913, Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,3,4,,3,3,3,v,r,r,"Some good culture, some bad culture, pay is okay.","Good culture for working parents
Spoiled in terms of corporate events, training and other creature comforts","Work culture can be aggressively focused on long hours
Management often talks the talk, but doesn't walk the walk in terms of diversity, work life management and other big issues."
Deloitte,42914, Tax Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,1,,5,2,1,v,o,x,Tax Manager,Good opportunities and supportive middle management,"Long hours, not very innovative"
Deloitte,43155, Director,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,3,4,,5,4,4,v,v,v,Great place to work and grow,"- Lots of opportunity to learn and grow your skills
- Generally great colleagues
- Clear career progression
- Good parties!","- Often long hours, as you would expect in professional service
- Pay only picks up at senior grades
- Leadership can be variable depending on the team you are in."
Deloitte,43279, Senior Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,4,3,4,o,o,o,Great community,"co-workers are great, work culture is pleasant, flexible work opportunities, good career progression","base salary is low,  unpaid overtime, required holiday uptake over Christmas"
Deloitte,43553, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,1,,3,2,1,x,r,r,"Great resume, horrible career choice","Name brand
Client facing
Resume builder
Stepping stone","Red tape
Slow moving
Defunct systems
Cliquey and boozy culture
Poor feedback 
Poor document management
Promotions not based on merit or technical knowledge
Unappreciative management
Attrition is high, new faces monthly"
Deloitte,43716, Client Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,4,4,,3,3,3,v,v,v,Mid-Tier Firm,Good mid-tier firm with a great team,Very productivity orientated leadership team
Deloitte,43838, Audit Manager,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,3,5,,4,3,4,v,r,v,Audit Manager,The culture of Deloitte is what makes Deloitte unique!,Lower end of the salary spectrum
Deloitte,43838, Audit Manager,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,3,5,,4,3,4,v,r,v,Audit Manager,The culture of Deloitte is what makes Deloitte unique!,Lower end of the salary spectrum
Deloitte,43844, Air Traffic Control Specialist,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,4,,5,3,4,o,o,o,"Good Opportunites, Lack of Transparency","Varied clients, lots of projects, great learning opportunities and training","Lack of transparency around pay banding and promotion review process, pay lower than industry equivalent opportunities"
Deloitte,43872, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3,4,,5,3,4,v,v,v,"Tremendous learning experience, surrounded by great people","Interesting problems clients engage us to solve, large national and global clients that engage Deloitte - making the work significant and exciting. much earlier exposure to senior stakeholders than if you worked in industry. Surrounded by smart, passionate people who love what they do and want the best outcomes for clients. Great place to be moulded into an effective professional with the right toolkit",Can be a lack of work life balance
Deloitte,43879, Executive Director,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,4,,4,2,4,v,v,v,"Great place, long hours",Excellent culture and the firm will back you to build your own business and take your career where you want it to go.,Commitment to flexibility but long working hours persist.
Deloitte,43936, Graduate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Great company,"Great culture, great people to work with",Nothing that I can think of
Deloitte,44026, Senior Consultant,Former Employee,"West Perth, Western Australia",4,,,,,,,o,o,o,Good place to be,"Great team
Great Culture
Excellent team spirit","low pay
extended working hours
minimum work life balance"
Deloitte,44040, Director,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3,4,,4,2,4,v,r,v,Great,Great i have there yeah,Not goo dmoney there buddy yay
Deloitte,44040, Director,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3,4,,4,2,4,v,r,v,Great,Great i have there yeah,Not goo dmoney there buddy yay
Deloitte,44050, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,4,4,4,v,r,o,Excellent Work life balance,"Good work life balance, very easy to reach out to the leadership team, ample opportunities","Company politics, Very least Annual appraisal"
Deloitte,44064, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,3,,5,4,3,v,r,r,Decent work but not long term,"Nice facilities
Good people
Decent culture
Prestige of Big 4","Long hours
No support structure
Treated as disposable."
Deloitte,44071, Associate Director,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,4,,4,1,4,x,v,r,Typical Big 4,Economics practice is market leading,"Salaries often lower than market, with rewards largely held at partnership level"
Deloitte,44100, Director,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,4,4,5,5,4,5,v,v,v,You get out what you put in,"Deloitte is great, its hard work but the benefits of the on the job learning are significant. Even when you're not enjoying it you are learning",Your experience is completely dependent on the Partners you work with and Partners are generally self motivated. So you need to try and align to the right ones as ultimately that will drive your experience
Deloitte,44107, Tax Accountant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Good company,A company that values its employees,A good profile company it is
Deloitte,44107, Tax Accountant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Good company,A company that values its employees,A good profile company it is
Deloitte,44117, Senior Analyst,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,2,4,4,3,2,4,o,o,o,Great learning experience,Interesting types of work and great experience,Working longer hours for lower pay
Deloitte,44120, Programmer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Great company,Great culture and colleagues are fun,Having to work long hours
Deloitte,44131, Senior Analyst,Current Employee,"Perth, Western Australia, Western Australia",5,4,4,5,5,4,4,o,r,o,Awesome,"Great focus on wellbeing and awesome corporate culture, great career opportunities",Some work can be repetitive and tedious
Deloitte,44131, Senior Analyst,Current Employee,"Perth, Western Australia, Western Australia",5,4,4,5,5,4,4,o,r,o,Awesome,"Great focus on wellbeing and awesome corporate culture, great career opportunities",Some work can be repetitive and tedious
Deloitte,44155, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,4,4,3,1,4,x,r,r,Review,"Culture, Diversity, Inclusion, Experience, Coffee machine","Salary, work life balance, broken promotion system"
Deloitte,44159, Manager,Former Employee,"Perth, Western Australia, Western Australia",4,4,5,3,4,4,4,v,r,r,Good Foundation. Good experience.,Great team. Great leadership. Fantastic milestone training.,Dilution of culture with fast growth
